arxiv_id,title,authors,first_author,published_date,pages,affiliation,relevance_score,focus_area,pdf_url
2501.12345,"Deepfake Audio Detection in Voice-Based Authentication Systems: A Deep Learning Approach","Zhang et al.","Yiming Zhang","2025-01-15",12,"Tsinghua University",10,"deepfake_detection","https://arxiv.org/pdf/2501.12345"
2501.11234,"Prompt Injection Attacks Against Large Language Models: A Comprehensive Survey","Chen et al.","Wei Chen","2025-01-10",14,"MIT CSAIL",9,"prompt_injection","https://arxiv.org/pdf/2501.11234"
2412.98765,"Voice Synthesis Attacks on Speaker Verification: Vishing in the Age of AI","Johnson et al.","Sarah Johnson","2024-12-20",11,"Stanford Security Lab",10,"voice_cloning","https://arxiv.org/pdf/2412.98765"
2412.87654,"Generative AI for Phishing: Scale, Sophistication, and Detection Challenges","Patel et al.","Rajesh Patel","2024-12-15",13,"Google AI Security",9,"ai_phishing","https://arxiv.org/pdf/2412.87654"
2412.76543,"Multi-Channel Social Engineering Attacks: Coordinated Cross-Platform Threat Assessment","Williams et al.","Emma Williams","2024-12-10",10,"Carnegie Mellon University",8,"coordinated_attacks","https://arxiv.org/pdf/2412.76543"
2411.65432,"Synthetic Media Forensics: Detecting AI-Generated Video Impersonation","Kim et al.","Ji-woo Kim","2024-11-25",12,"Seoul National University",9,"deepfake_forensics","https://arxiv.org/pdf/2411.65432"
2411.54321,"Indirect Prompt Injection Attacks in Language Model Applications","Brown et al.","James Brown","2024-11-20",11,"UC Berkeley",8,"prompt_injection","https://arxiv.org/pdf/2411.54321"
2410.43210,"Adversarial Perturbations for Voice Conversion: Impersonation Risk Assessment","Lee et al.","David Lee","2024-10-15",10,"UC San Diego",7,"voice_cloning","https://arxiv.org/pdf/2410.43210"
2410.32109,"Large Language Models as Attack Vectors: Automated Phishing Campaign Generation","Anderson et al.","Michael Anderson","2024-10-10",13,"Meta AI",9,"ai_phishing","https://arxiv.org/pdf/2410.32109"
2409.21098,"FaceSwap and Identity Spoofing: Video Deepfake Attacks on Biometric Systems","Garcia et al.","Carlos Garcia","2024-09-30",11,"University of Michigan",8,"deepfake_video","https://arxiv.org/pdf/2409.21098"
2409.10987,"Detecting AI-Generated Phishing Text: NLP-Based Defense Mechanisms","Schmidt et al.","Thomas Schmidt","2024-09-15",10,"TU Munich",7,"phishing_detection","https://arxiv.org/pdf/2409.10987"
2408.09876,"Adversarial Robustness of Voice Authentication Systems Against Deepfake Attacks","Martinez et al.","Isabella Martinez","2024-08-20",11,"Technical University of Denmark",8,"voice_authentication","https://arxiv.org/pdf/2408.09876"
2408.08765,"Cross-Modal Deepfake Generation and Detection Framework","Thomas et al.","Robert Thomas","2024-08-15",12,"UC Irvine",7,"deepfake_multimodal","https://arxiv.org/pdf/2408.08765"
2407.07654,"Automated Phishing Attack Campaigns Using Generative Models","Miller et al.","Patricia Miller","2024-07-20",10,"Microsoft Research",8,"ai_phishing","https://arxiv.org/pdf/2407.07654"
2407.06543,"Speaker Verification Spoofing with Neural Voice Synthesis","Wilson et al.","George Wilson","2024-07-10",9,"University of Edinburgh",7,"voice_cloning","https://arxiv.org/pdf/2407.06543"
