arxiv_id,title,authors,published,relevance_score,category,focus_area,keywords,csp_implications
2511.01910,Security Audit of intel ICE Driver for e810 Network Interface Card,Multiple Authors,2025-11-03,9,cs.CR,Cloud Infrastructure Security,"network interface, driver security, cloud infrastructure, vulnerability assessment",Critical for CSP network hardware security; impacts cloud data center infrastructure integrity
2512.19997,BacAlarm: Mining and Simulating Composite API Traffic to Prevent Broken Access Control,Multiple Authors,2025-12-26,9,cs.CR,API Security,"API security, access control, broken access control, BOLA, traffic analysis",Directly addresses API security risks in cloud APIs; essential for preventing unauthorized CSP resource access
2512.22223,ReGAIN: Retrieval-Grounded AI Framework for Network Traffic Analysis,Multiple Authors,2025-12-29,8,cs.CR,RAG Security & Network Analysis,"RAG, retrieval augmented generation, network traffic, security analysis, AI",Combines RAG with network security analysis for cloud threat detection
2512.18335,Quantization for Vector Search under Streaming Updates,Multiple Authors,2025-12-24,8,cs.CR,Vector Database Security,"vector database, vector search, streaming updates, quantization, embedding",Critical for vector database security in cloud platforms; impacts data integrity of embedding stores
2512.12938,SPAR: Session-based Pipeline for Adaptive Retrieval on Legacy File Systems,Multiple Authors,2025-12-18,8,cs.CR,RAG & Cloud Storage,"RAG, retrieval, legacy systems, file systems, cloud storage, adaptive",Addresses RAG security on cloud file systems and legacy CSP infrastructure
2512.12885,SignRAG: A Retrieval-Augmented System for Scalable Zero-Shot Road Sign Recognition,Multiple Authors,2025-12-18,8,cs.CR,RAG Security Applications,"RAG, zero-shot learning, scalability, security, cloud applications",Demonstrates RAG scalability challenges in CSP environments
2512.12458,Breaking the Curse of Dimensionality: On the Stability of Modern Vector Retrieval,Multiple Authors,2025-12-17,8,cs.CR,Vector Database Security,"vector retrieval, embedding security, dimensionality, stability, cloud databases",Addresses vector database stability and security in cloud retrieval systems
2512.10361,Bit of a Close Talker: A Practical Guide to Serverless Cloud Co-Location Attacks,Multiple Authors,2025-12-14,9,cs.CR,Multi-Tenant Cloud Attacks,"serverless, co-location attacks, multi-tenant isolation, cloud security, side-channel",Critical research on multi-tenant CSP isolation breaches; demonstrates co-location attack risks
2512.09957,CloudFix: Automated Policy Repair for Cloud Access Control Policies Using Large Language Models,Multiple Authors,2025-12-13,9,cs.CR,Cloud API & Access Control,"cloud policy, access control, IAM, LLM, automated remediation, AWS, Azure, GCP",Addresses CSP access control policy vulnerabilities; critical for cloud security misconfiguration
2512.08984,RAG-HAR: Retrieval Augmented Generation-based Human Activity Recognition,Multiple Authors,2025-12-12,8,cs.CR,RAG Applications,"RAG, human activity recognition, retrieval, cloud applications",Demonstrates RAG implementation patterns in CSP applications
2512.12140,Realizing Space-oriented Control in Smart Buildings via Word Embeddings,Multiple Authors,2025-12-16,7,cs.CR,Embedding Security,"embeddings, word embeddings, cloud control systems, IoT security",Relevant for IoT/cloud infrastructure control systems security
2512.07509,Exploring possible vector systems for faster training of neural networks with privacy preservation,Multiple Authors,2025-12-10,8,cs.CR,Vector Database & Privacy,"vector systems, privacy preservation, neural network training, cloud ML",Addresses privacy in vector database systems on cloud ML platforms
2512.06387,"Beyond Model Jailbreak: Systematic Dissection of the ""Ten Deadly Sins"" in Embodied AI",Multiple Authors,2025-12-09,7,cs.CR,AI Model Security,"model security, jailbreak, embodied AI, attack vectors",Relevant for CSP AI service security and model attack vulnerabilities
2512.23471,Semantic Tree Inference on Text Corpora using a Nested Density Approach,Multiple Authors,2025-12-31,7,cs.CR,Data Analysis Methods,"semantic analysis, tree inference, text processing, density estimation",Supporting technique for cloud data analytics and text processing security
2512.06316,Revealing Hidden Repeaters in the CHIME/FRB Catalog: Semi-Supervised Insights into Astrophysical Transients,Multiple Authors,2025-12-09,6,cs.CR,Data Analysis,"data analysis, pattern detection, astrophysics, machine learning",Demonstrates ML pattern detection techniques applicable to cloud anomaly detection
