Query|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded|published_date
Query 10: Privilege Escalation & Service Account Monitoring|2510.13893v1|Olga E. Sorokoletova, Francesco Giarrusso, Vincenzo Suriani...|Guarding the Guardrails: A Taxonomy-Driven Approach to Jailbreak Detection|2025|100|Jailbreaking techniques pose a significant threat to the safety of Large Language Models (LLMs). Existing defenses typically focus on single-turn attacks, lack coverage across languages, and rely on l|http://arxiv.org/abs/2510.13893v1|yes|2025-10-14
Query 10: Privilege Escalation & Service Account Monitoring|2509.04191v1|Omri Sgan Cohen, Ehud Malul, Yair Meidan...|KubeGuard: LLM-Assisted Kubernetes Hardening via Configuration Files and Runtime Logs Analysis|2025|100|The widespread adoption of Kubernetes (K8s) for orchestrating cloud-native applications has introduced significant security challenges, such as misconfigured resources and overly permissive configurat|http://arxiv.org/abs/2509.04191v1|yes|2025-09-04
Query 10: Privilege Escalation & Service Account Monitoring|2506.20503v1|Edoardo Di Paolo, Fabio De Gaspari, Angelo Spognardi|BotHash: Efficient and Training-Free Bot Detection Through Approximate Nearest Neighbor|2025|100|Online Social Networks (OSNs) are a cornerstone in modern society, serving as platforms for diverse content consumption by millions of users each day. However, the challenge of ensuring the accuracy o|http://arxiv.org/abs/2506.20503v1|yes|2025-06-25
Query 11: Policy-as-Code & Governance for AI Agents|2512.07462v2|Trung-Kiet Huynh, Duy-Minh Dao-Sy, Thanh-Bang Cao...|Understanding LLM Agent Behaviours via Game Theory: Strategy Recognition, Biases and Multi-Agent Dynamics|2025|100|As Large Language Models (LLMs) increasingly operate as autonomous decision-makers in interactive and multi-agent systems and human societies, understanding their strategic behaviour has profound impl|http://arxiv.org/abs/2512.07462v2|yes|2025-12-08
Query 11: Policy-as-Code & Governance for AI Agents|2512.05951v2|Teofil Bodea, Masanori Misono, Julian Pritzi...|Trusted AI Agents in the Cloud|2025|100|AI agents powered by large language models are increasingly deployed as cloud services that autonomously access sensitive data, invoke external tools, and interact with other agents. However, these ag|http://arxiv.org/abs/2512.05951v2|yes|2025-12-05
Query 11: Policy-as-Code & Governance for AI Agents|2512.04416v2|Zhou Liu, Zhaoyang Han, Guochen Yan...|DataGovBench: Benchmarking LLM Agents for Real-World Data Governance Workflows|2025|100|Data governance ensures data quality, security, and compliance through policies and standards, a critical foundation for scaling modern AI development. Recently, large language models (LLMs) have emer|http://arxiv.org/abs/2512.04416v2|yes|2025-12-04
Query 11: Policy-as-Code & Governance for AI Agents|2512.00742v1|K. J. Kevin Feng, Tae Soo Kim, Rock Yuren Pang...|On the Regulatory Potential of User Interfaces for AI Agent Governance|2025|100|AI agents that take actions in their environment autonomously over extended time horizons require robust governance interventions to curb their potentially consequential risks. Prior proposals for gov|http://arxiv.org/abs/2512.00742v1|yes|2025-11-30
Query 11: Policy-as-Code & Governance for AI Agents|2511.22619v2|Boyuan Chen, Sitong Fang, Jiaming Ji...|AI Deception: Risks, Dynamics, and Controls|2025|100|As intelligence increases, so does its shadow. AI deception, in which systems induce false beliefs to secure self-beneficial outcomes, has evolved from a speculative concern to an empirically demonstr|http://arxiv.org/abs/2511.22619v2|yes|2025-11-27
Query 11: Policy-as-Code & Governance for AI Agents|2511.06262v1|Siming Zhao, Qi Li|GAIA: A General Agency Interaction Architecture for LLM-Human B2B Negotiation & Screening|2025|100|Organizations are increasingly exploring delegation of screening and negotiation tasks to AI systems, yet deployment in high-stakes B2B settings is constrained by governance: preventing unauthorized c|http://arxiv.org/abs/2511.06262v1|yes|2025-11-09
Query 11: Policy-as-Code & Governance for AI Agents|2511.03248v2|Junhao Li, Jiahao Chen, Zhou Feng...|Auditing M-LLMs for Privacy Risks: A Synthetic Benchmark and Evaluation Framework|2025|100|Recent advances in multi-modal Large Language Models (M-LLMs) have demonstrated a powerful ability to synthesize implicit information from disparate sources, including images and text. These resourcef|http://arxiv.org/abs/2511.03248v2|yes|2025-11-05
