query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
Query 1: Zero Trust Architecture for AI Agents|2511.02841v2|Sandro Rodriguez Garzon; Awid Vaziry; Enis Mert Kuzu|AI Agents with Decentralized Identifiers and Verifiable Credentials|2025|130|A fundamental limitation of current LLM-based AI agents is their inability to build differentiated trust among each other at the onset of an agent-to-...|https://arxiv.org/abs/2511.02841v2|No
Query 1: Zero Trust Architecture for AI Agents|2511.03434v1|Botao 'Amber' Hu; Helena Rong|Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof, Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2, ERC-8004, and Beyond|2025|130|"As the ""agentic web"" takes shape-billions of AI agents (often LLM-powered) autonomously transacting and collaborating-trust shifts from human oversigh..."|https://arxiv.org/abs/2511.03434v1|No
Query 1: Zero Trust Architecture for AI Agents|2508.19870v1|Yinqiu Liu; Ruichen Zhang; Haoxiang Luo|Secure Multi-LLM Agentic AI and Agentification for Edge General Intelligence by Zero-Trust: A Survey|2025|130|Agentification serves as a critical enabler of Edge General Intelligence (EGI), transforming massive edge devices into cognitive agents through integr...|https://arxiv.org/abs/2508.19870v1|No
Query 1: Zero Trust Architecture for AI Agents|2507.10571v3|Konstantinos I. Roumeliotis; Ranjan Sapkota; Manoj Karkee|Agentic AI with Orchestrator-Agent Trust: A Modular Visual Classification Framework with Trust-Aware Orchestration and RAG-Based Reasoning|2025|130|Modern Artificial Intelligence (AI) increasingly relies on multi-agent architectures that blend visual and language understanding. Yet, a pressing cha...|https://arxiv.org/abs/2507.10571v3|No
Query 1: Zero Trust Architecture for AI Agents|2510.04023v1|Mizanur Rahman; Amran Bhuiyan; Mohammed Saidul Islam|LLM-Based Data Science Agents: A Survey of Capabilities, Challenges, and Future Directions|2025|130|Recent advances in large language models (LLMs) have enabled a new class of AI agents that automate multiple stages of the data science workflow by in...|https://arxiv.org/abs/2510.04023v1|No
Query 1: Zero Trust Architecture for AI Agents|2505.19301v2|Ken Huang; Vineeth Sai Narajala; John Yeoh|A Novel Zero-Trust Identity Framework for Agentic AI: Decentralized Authentication and Fine-Grained Access Control|2025|130|Traditional Identity and Access Management (IAM) systems, primarily designed for human users or static machine identities via protocols such as OAuth,...|https://arxiv.org/abs/2505.19301v2|No
Query 1: Zero Trust Architecture for AI Agents|2504.14760v1|Surya Teja Avirneni|Establishing Workload Identity for Zero Trust CI/CD: From Secrets to SPIFFE-Based Authentication|2025|130|CI/CD systems have become privileged automation agents in modern infrastructure, but their identity is still based on secrets or temporary credentials...|https://arxiv.org/abs/2504.14760v1|No
Query 1: Zero Trust Architecture for AI Agents|2511.21768v1|I. Cherkaoui; C. Clarke; J. Horgan|Categorical Framework for Quantum-Resistant Zero-Trust AI Security|2025|130|The rapid deployment of AI models necessitates robust, quantum-resistant security, particularly against adversarial threats. Here, we present a novel ...|https://arxiv.org/abs/2511.21768v1|No
Query 1: Zero Trust Architecture for AI Agents|2512.05951v2|Teofil Bodea; Masanori Misono; Julian Pritzi|Trusted AI Agents in the Cloud|2025|130|AI agents powered by large language models are increasingly deployed as cloud services that autonomously access sensitive data, invoke external tools,...|https://arxiv.org/abs/2512.05951v2|No
Query 1: Zero Trust Architecture for AI Agents|2504.16108v1|Sebastian Barros|Trusted Identities for AI Agents: Leveraging Telco-Hosted eSIM Infrastructure|2025|130|The rise of autonomous AI agents in enterprise and industrial environments introduces a critical challenge: how to securely assign, verify, and manage...|https://arxiv.org/abs/2504.16108v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2504.14760v1|Surya Teja Avirneni|Establishing Workload Identity for Zero Trust CI/CD: From Secrets to SPIFFE-Based Authentication|2025|130|CI/CD systems have become privileged automation agents in modern infrastructure, but their identity is still based on secrets or temporary credentials...|https://arxiv.org/abs/2504.14760v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2511.03434v1|Botao 'Amber' Hu; Helena Rong|Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof, Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2, ERC-8004, and Beyond|2025|130|"As the ""agentic web"" takes shape-billions of AI agents (often LLM-powered) autonomously transacting and collaborating-trust shifts from human oversigh..."|https://arxiv.org/abs/2511.03434v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2504.16108v1|Sebastian Barros|Trusted Identities for AI Agents: Leveraging Telco-Hosted eSIM Infrastructure|2025|130|The rise of autonomous AI agents in enterprise and industrial environments introduces a critical challenge: how to securely assign, verify, and manage...|https://arxiv.org/abs/2504.16108v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2503.08734v1|Aniket Vaidya; Anurag Awasthi|Zero-to-One IDV: A Conceptual Model for AI-Powered Identity Verification|2025|130|In today's increasingly digital interactions, robust Identity Verification (IDV) is crucial for security and trust. Artificial Intelligence (AI) is tr...|https://arxiv.org/abs/2503.08734v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2508.19465v1|Onyinye Okoye|Addressing Weak Authentication like RFID, NFC in EVs and EVCs using AI-powered Adaptive Authentication|2025|130|The rapid expansion of the Electric Vehicles (EVs) and Electric Vehicle Charging Systems (EVCs) has introduced new cybersecurity challenges, specifica...|https://arxiv.org/abs/2508.19465v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2509.25566v1|Amal Yousseef; Shalaka Satam; Banafsheh Saber Latibari|Zero Trust-based Decentralized Identity Management System for Autonomous Vehicles|2025|130|The rise of autonomous vehicles (AVs) promises to significantly enhance transportation safety and efficiency by mitigating human error, which is respo...|https://arxiv.org/abs/2509.25566v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2505.19301v2|Ken Huang; Vineeth Sai Narajala; John Yeoh|A Novel Zero-Trust Identity Framework for Agentic AI: Decentralized Authentication and Fine-Grained Access Control|2025|130|Traditional Identity and Access Management (IAM) systems, primarily designed for human users or static machine identities via protocols such as OAuth,...|https://arxiv.org/abs/2505.19301v2|No
Query 2: Non-Human Identity & Cryptographic Verification|2510.16067v1|Saurabh Deochake; Ryan Murphy; Jeremiah Gearheart|A Multi-Cloud Framework for Zero-Trust Workload Authentication|2025|130|Static, long-lived credentials for workload authentication create untenable security risks that violate Zero-Trust principles. This paper presents a m...|https://arxiv.org/abs/2510.16067v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2511.20505v1|Jian Sheng Wang|A Single-Root, Multi-Curve, Context-Isolated, PQC-Pluggable Cryptographic Identity Primitive with Stateless Secret Rotation|2025|130|Cryptographic identity anchors modern decentralized systems, yet current standards like BIP-39 and BIP-32 are structurally insufficient for the demand...|https://arxiv.org/abs/2511.20505v1|No
Query 2: Non-Human Identity & Cryptographic Verification|2502.10281v2|Adrian-Tudor Dumitrescu; Johan Pouwelse|TrustZero -- open, verifiable and scalable zero-trust|2025|130|We present a passport-level trust token for Europe. In an era of escalating cyber threats fueled by global competition in economic, military, and tech...|https://arxiv.org/abs/2502.10281v2|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2511.03434v1|Botao 'Amber' Hu; Helena Rong|Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof, Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2, ERC-8004, and Beyond|2025|130|"As the ""agentic web"" takes shape-billions of AI agents (often LLM-powered) autonomously transacting and collaborating-trust shifts from human oversigh..."|https://arxiv.org/abs/2511.03434v1|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2512.05951v2|Teofil Bodea; Masanori Misono; Julian Pritzi|Trusted AI Agents in the Cloud|2025|130|AI agents powered by large language models are increasingly deployed as cloud services that autonomously access sensitive data, invoke external tools,...|https://arxiv.org/abs/2512.05951v2|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2508.14415v1|Qiang Zhang; Pei Yan; Yijia Xu|The Agent Behavior: Model, Governance and Challenges in the AI Digital Age|2025|130|Advancements in AI have led to agents in networked environments increasingly mirroring human behavior, thereby blurring the boundary between artificia...|https://arxiv.org/abs/2508.14415v1|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2502.12825v2|Rubing Li; João Sedoc; Arun Sundararajan|Reasoning and the Trusting Behavior of DeepSeek and GPT: An Experiment Revealing Hidden Fault Lines in Large Language Models|2025|130|When encountering increasingly frequent performance improvements or cost reductions from a new large language model (LLM), developers of applications ...|https://arxiv.org/abs/2502.12825v2|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2507.07901v3|Sree Bhargavi Balija; Rekha Singal; Ramesh Raskar|The Trust Fabric: Decentralized Interoperability and Economic Coordination for the Agentic Web|2025|130|The fragmentation of AI agent ecosystems has created urgent demands for interoperability, trust, and economic coordination that current protocols -- i...|https://arxiv.org/abs/2507.07901v3|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2501.15317v1|Sheyan Lalmohammed|Welfare Modeling with AI as Economic Agents: A Game-Theoretic and Behavioral Approach|2025|130|The integration of artificial intelligence (AI) into economic systems represents a transformative shift in decision-making frameworks, introducing nov...|https://arxiv.org/abs/2501.15317v1|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2505.20127v2|Fabiana Fournier; Lior Limonad; Yuval David|Agentic AI Process Observability: Discovering Behavioral Variability|2025|130|AI agents that leverage Large Language Models (LLMs) are increasingly becoming core building blocks of modern software systems. A wide range of framew...|https://arxiv.org/abs/2505.20127v2|No
Query 3: Behavioral Analytics & Trust Scoring for AI|2502.13321v1|Tejas Srinivasan; Jesse Thomason|Adjust for Trust: Mitigating Trust-Induced Inappropriate Reliance on AI Assistance|2025|130|Trust biases how users rely on AI recommendations in AI-assisted decision-making tasks, with low and high levels of trust resulting in increased under...|https://arxiv.org/abs/2502.13321v1|No
