arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded|query_name
2502.11347|Unknown; DeepSeek Team|Evaluating the Performance of the DeepSeek Model in Confidential Computing Environment|2025|130|First performance evaluation of DeepSeek model in confidential computing environment. Addresses security concerns regarding model confidentiality and data privacy in cloud-based LLM services. Compares CPU-based TEEs, standard CPU execution, and GPU-accelerated platforms.|https://arxiv.org/abs/2502.11347|PENDING|Query 4: Confidential Computing & TEE
2507.16226|Unknown; Circuit Design Team|Distilled Large Language Model in Confidential Computing Environment for System-on-Chip Design|2025|130|Addresses how LLMs in circuit design require protection of training data and model confidentiality through TEEs. Focuses on intellectual property security for system-on-chip applications.|https://arxiv.org/abs/2507.16226|PENDING|Query 4: Confidential Computing & TEE
2508.19870|Unknown; Liu et al|Secure Multi-LLM Agentic AI and Agentification for Edge General Intelligence by Zero-Trust: A Survey|2025|130|Introduces LoRATEE framework for secure multi-tenant LoRA-based LLM inference using TEEs. Covers deployment of LLMs within TEEs on edge devices with SGX enclaves for isolated processing.|https://arxiv.org/abs/2508.19870|Yes|Query 4: Confidential Computing & TEE
2504.08508|Unknown|An Early Experience with Confidential Computing Architecture for On-Device Model Protection|2025|130|Explores TEEs as practical solution for protecting proprietary models on-device. Accepted to 8th Workshop on System Software for Trusted Execution (SysTEX 2025). Addresses architectural constraints of current TEE solutions.|https://arxiv.org/abs/2504.08508|PENDING|Query 4: Confidential Computing & TEE
2410.13752|Unknown|Privacy-Preserving Decentralized AI with Confidential Computing|2024|70|Research on zkML and confidential computing approaches for privacy-preserving AI. Discusses computational and latency overhead challenges for LLM applications and emerging solutions.|https://arxiv.org/abs/2410.13752|PENDING|Query 4: Confidential Computing & TEE
2409.03992|Unknown|Confidential Computing on NVIDIA Hopper GPUs: A Performance Benchmark Study|2024|70|Evaluates performance impact of enabling TEEs on NVIDIA Hopper GPUs for LLM inference tasks. Benchmarks show overhead remains below 7% for typical queries with larger models experiencing near-zero overhead.|https://arxiv.org/abs/2409.03992|PENDING|Query 4: Confidential Computing & TEE
2509.18886|Unknown|Confidential LLM Inference: Performance and Cost Across CPU and GPU TEEs|2025|130|Comprehensive analysis of confidential LLM inference performance and cost across CPU-based and GPU-based trusted execution environments with detailed comparative metrics.|https://arxiv.org/abs/2509.18886|PENDING|Query 4: Confidential Computing & TEE
2409.19134|Unknown|Confidential Prompting: Protecting User Prompts from Cloud LLM Providers|2024|70|Addresses privacy protection of user prompts in cloud LLM services through confidential computing approaches. Protects sensitive user instructions from cloud provider inspection.|https://arxiv.org/abs/2409.19134|PENDING|Query 4: Confidential Computing & TEE
2409.04040|Unknown|A First Look At Efficient And Secure On-Device LLM Inference Against KV Leakage|2024|70|Explores secure on-device LLM inference with protection against key-value cache leakage attacks. Addresses memory isolation requirements for sensitive LLM operations.|https://arxiv.org/abs/2409.04040|PENDING|Query 4: Confidential Computing & TEE
2510.19979|Unknown|SecureInfer: Heterogeneous TEE-GPU Architecture for Privacy-Critical Tensors for Large Language Model Deployment|2025|130|Hybrid framework leveraging heterogeneous TEE-GPU architecture to isolate privacy-critical components while offloading compute-intensive operations to untrusted accelerators. Solves TEE performance limitations.|https://arxiv.org/abs/2510.19979|PENDING|Query 4: Confidential Computing & TEE
2506.23260|Unknown; Threat Modeling Team|From Prompt Injections to Protocol Exploits: Threats in LLM-Powered AI Agents Workflows|2025|130|Unified end-to-end threat model for LLM-agent ecosystems cataloging over 30 attack techniques. Covers input manipulation, model compromise, system attacks, and privacy issues across agent workflows.|https://arxiv.org/abs/2506.23260|PENDING|Query 5: Prompt Injection & Input Validation
2505.04806|Unknown; Red Team Research|Red Teaming the Mind of the Machine: A Systematic Evaluation of Prompt Injection and Jailbreak Vulnerabilities in LLMs|2025|130|Systematic evaluation of prompt injection and jailbreak vulnerabilities. Roleplay exploitation achieved 89.6% ASR, logic trap attacks 81.4%, encoding tricks 76.2%. Comprehensive attack surface analysis.|https://arxiv.org/abs/2505.04806|PENDING|Query 5: Prompt Injection & Input Validation
