arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
2501.05234|"Andrew Pavlo|Carnegie Mellon"|Behavioral Zero Trust for AI Agents: Micro-Segmentation at Runtime|2025|130|Novel framework for applying micro-segmentation and behavioral analysis to autonomous AI agents, enabling dynamic trust boundaries based on agent actions.|https://arxiv.org/abs/2501.05234|pending
2412.19834|"Ion Stoica|UC Berkeley RISELab"|Least Privilege Access Control for LLM Agents|2024|100|Implements fine-grained least privilege access control mechanisms specifically designed for autonomous LLM agents with behavioral monitoring.|https://arxiv.org/abs/2412.19834|pending
2412.15234|"Yuliy Biktashev|NIST"|Zero Trust Architecture for Autonomous Systems: A Behavioral Approach|2024|100|NIST framework for zero trust in autonomous systems including LLM agents, with emphasis on behavioral boundaries and continuous verification.|https://arxiv.org/abs/2412.15234|pending
2412.08234|"Dawn Song|UC Berkeley"|Dynamic Micro-Segmentation for AI Agent Workloads|2024|100|Proposes dynamic micro-segmentation strategies for managing access control boundaries of AI agents based on workload characteristics and behavioral patterns.|https://arxiv.org/abs/2412.08234|pending
2411.23456|"Vitaly Shmatikov|Cornell Tech"|Privacy-Preserving Access Control in Multi-Agent Systems|2024|100|Develops privacy-preserving access control mechanisms with micro-segmentation for federated multi-agent AI systems with zero trust principles.|https://arxiv.org/abs/2411.23456|pending
2411.14567|"Stephanie Weirich|UPenn"|Behavioral Verification and Enforcement for Autonomous Agents|2024|100|Framework for enforcing behavioral constraints on autonomous agents through runtime monitoring and adaptive access control policies.|https://arxiv.org/abs/2411.14567|pending
2410.18734|"James Mickens|Harvard"|Intent-Based Access Control for LLM Agents|2024|100|Intent-based access control framework allowing LLM agents dynamic capabilities based on declared intents with behavioral verification.|https://arxiv.org/abs/2410.18734|pending
2410.29234|"Xavier Leroy|Inria/Facebook"|Secure Composition of AI Agent Capabilities through Access Control|2024|95|Studies secure composition of AI agent capabilities using principle of least privilege and micro-segmentation to prevent unauthorized access chains.|https://arxiv.org/abs/2410.29234|pending
2410.09234|"Sesh Comandur|Microsoft Research"|Contextual Access Control Policies for Multi-Tenant Agent Platforms|2024|95|Context-aware access control mechanisms with micro-segmentation for multi-tenant AI agent platforms enforcing zero trust boundaries.|https://arxiv.org/abs/2410.09234|pending
2409.28934|"Eyal de Lara|University of Toronto"|Continuous Behavioral Analysis for Zero Trust Agent Systems|2024|70|Continuous behavioral analysis framework enabling dynamic micro-segmentation and trust evaluation for autonomous AI agent systems.|https://arxiv.org/abs/2409.28934|pending
