arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
2505.04977v2|Brian Choi and Shu Wang and Isabelle Choi and Kun Sun|ChainMarks: Securing DNN Watermark with Cryptographic Chain|2025|100|With the widespread deployment of deep neural network (DNN) models, dynamic watermarking techniques are being used to protect the intellectual property of model owners. However, recent studies have sh...|https://arxiv.org/abs/2505.04977v2|True
2512.09938v1|Balakumar Ravindranath Kunthu and Ranganath Nagesh Taware and Sathish Krishna Anumula|Blockchain-Anchored Audit Trail Model for Transparent Inter-Operator Settlement|2025|170|The telecommunications and financial services industries face substantial challenges in inter-operator settlement processes, characterized by extended reconciliation cycles, high transaction costs, an...|https://arxiv.org/abs/2512.09938v1|True
2405.07533v4|Sandro Rodriguez Garzon and Dennis Natusch and Artur Philipp and Axel Küpper and Hans Joachim Einsiedler and Daniela Schneider|DID Link: Authentication in TLS with Decentralized Identifiers and Verifiable Credentials|2024|80|Authentication in TLS is predominately carried out with X.509 digital certificates issued by certificate authorities (CA). The centralized nature of current public key infrastructures, however, comes ...|https://arxiv.org/abs/2405.07533v4|True
2509.08402v1|Abdou-Essamad Jabri and C. Drocourt and Mostafa Azizi and Gil Utard|Leveraging Blockchain and Proxy Re-Encryption to secure Medical IoT Records|2025|100|The integration of the Internet of Things (IoT) in healthcare has revolutionized patient monitoring and data collection, allowing real-time tracking of vital signs, remote diagnostics, and automated m...|https://arxiv.org/abs/2509.08402v1|True
2509.14987v1|Md Talha Mohsin|Blockchain-Enabled Explainable AI for Trusted Healthcare Systems|2025|100|This paper introduces a Blockchain-Integrated Explainable AI Framework (BXHF) for healthcare systems to tackle two essential challenges confronting health information networks: safe data exchange and ...|https://arxiv.org/abs/2509.14987v1|True
2510.19303v1|Petar Radanliev|Collaborative penetration testing suite for emerging generative AI algorithms|2025|100|Problem Space: AI Vulnerabilities and Quantum Threats Generative AI vulnerabilities: model inversion, data poisoning, adversarial inputs. Quantum threats Shor Algorithm breaking RSA ECC encryption. Ch...|https://arxiv.org/abs/2510.19303v1|True
2409.01900v1|Alexandre Pacheco and Sébastien De Vos and Andreagiovanni Reina and Marco Dorigo and Volker Strobel|Securing Federated Learning in Robot Swarms using Blockchain Technology|2024|80|Federated learning is a new approach to distributed machine learning that offers potential advantages such as reducing communication requirements and distributing the costs of training algorithms. The...|https://arxiv.org/abs/2409.01900v1|True
2507.08286v1|Aufa Nasywa Rahman and Bimo Sunarfri Hantono and Guntur Dharma Putra|TruChain: A Multi-Layer Architecture for Trusted, Verifiable, and Immutable Open Banking Data|2025|100|Open banking framework enables third party providers to access financial data across banking institutions, leading to unprecedented innovations in the financial sector. However, some open banking stan...|https://arxiv.org/abs/2507.08286v1|True
2403.19178v1|Ji Liu and Chunlu Chen and Yu Li and Lin Sun and Yulun Song and Jingbo Zhou and Bo Jing and Dejing Dou|Enhancing Trust and Privacy in Distributed Networks: A Comprehensive Survey on Blockchain-based Federated Learning|2024|120|While centralized servers pose a risk of being a single point of failure, decentralized approaches like blockchain offer a compelling solution by implementing a consensus mechanism among multiple enti...|https://arxiv.org/abs/2403.19178v1|True
2311.03573v3|Chaimaa Nairi and Murtaza Cicioglu and Ali Calhan|Smart Blockchain Networks: Revolutionizing Donation Tracking in the Web 3.0|2023|120|A donation-tracking system leveraging smart contracts and blockchain technology holds transformative potential for reshaping the landscape of charitable giving, especially within the context of Web 3....|https://arxiv.org/abs/2311.03573v3|True
