query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
Query 1: Immutable Logs & WORM Storage|2512.11065v2|Marcelo Fransoy; Alejandro Hossian; Hernán Merlino|Immutable Explainability: Fuzzy Logic and Blockchain for Verifiable Affective AI|2025|155|Affective artificial intelligence has made substantial advances in recent years; yet two critical issues persist, particularly in sensitive applicatio...|https://arxiv.org/abs/2512.11065v2|No
Query 1: Immutable Logs & WORM Storage|2505.17236v2|Md Shariful Islam; M. Sohel Rahman|LogStamping: A blockchain-based log auditing approach for large-scale systems|2025|150|Log management is crucial for ensuring the security, integrity, and compliance of modern information systems. Traditional log management solutions fac...|https://arxiv.org/abs/2505.17236v2|No
Query 1: Immutable Logs & WORM Storage|2504.07938v1|Ernesto Sola-Thomas; Masudul H Imtiaz|Development of a Quantum-Resistant File Transfer System with Blockchain Audit Trail|2025|145|This paper presents a condensed system architecture for a file transfer solution that leverages post quantum cryptography and blockchain to secure dat...|https://arxiv.org/abs/2504.07938v1|No
Query 1: Immutable Logs & WORM Storage|2506.22497v1|Craig Steven Wright|Peer Review as Structured Commentary: Immutable Identity, Public Dialogue, and Reproducible Scholarship|2025|145|This paper reconceptualises peer review as structured public commentary. Traditional academic validation is hindered by anonymity, latency, and gateke...|https://arxiv.org/abs/2506.22497v1|No
Query 1: Immutable Logs & WORM Storage|2506.13246v1|Craig Steven Wright|On Immutable Memory Systems for Artificial Agents: A Blockchain-Indexed Automata-Theoretic Framework Using ECDH-Keyed Merkle Chains|2025|145|This paper presents a formalised architecture for synthetic agents designed to retain immutable memory, verifiable reasoning, and constrained epistemi...|https://arxiv.org/abs/2506.13246v1|No
Query 2: Tamper-Proof Logging & Forensics|2512.11065v2|Marcelo Fransoy; Alejandro Hossian; Hernán Merlino|Immutable Explainability: Fuzzy Logic and Blockchain for Verifiable Affective AI|2025|155|Affective artificial intelligence has made substantial advances in recent years; yet two critical issues persist, particularly in sensitive applicatio...|https://arxiv.org/abs/2512.11065v2|No
Query 2: Tamper-Proof Logging & Forensics|2505.17236v2|Md Shariful Islam; M. Sohel Rahman|LogStamping: A blockchain-based log auditing approach for large-scale systems|2025|150|Log management is crucial for ensuring the security, integrity, and compliance of modern information systems. Traditional log management solutions fac...|https://arxiv.org/abs/2505.17236v2|No
Query 2: Tamper-Proof Logging & Forensics|2512.18560v1|Kenji Saito|Proof of Authenticity of General IoT Information with Tamper-Evident Sensors and Blockchain|2025|145|Sensor data in IoT (Internet of Things) systems is vulnerable to tampering or falsification when transmitted through untrusted services. This is criti...|https://arxiv.org/abs/2512.18560v1|No
Query 3: Kubernetes & Container Logging|2507.16109v1|Zihao Chen; Mohammad Goudarzi; Adel Nadjaran Toosi|Resilience Evaluation of Kubernetes in Cloud-Edge Environments via Failure Injection|2025|150|Kubernetes has emerged as an essential platform for deploying containerised applications across cloud and edge infrastructures. As Kubernetes gains in...|https://arxiv.org/abs/2507.16109v1|No
Query 3: Kubernetes & Container Logging|2509.02449v1|Mohsen Seyedkazemi Ardebili; Andrea Bartolini|KubeIntellect: A Modular LLM-Orchestrated Agent Framework for End-to-End Kubernetes Management|2025|145|Kubernetes has become the foundation of modern cloud-native infrastructure, yet its management remains complex and fragmented. Administrators must nav...|https://arxiv.org/abs/2509.02449v1|No
Query 3: Kubernetes & Container Logging|2506.21134v1|Jacopo Bufalino; Jose Luis Martin-Navarro; Mario Di Francesco|Inside Job: Defending Kubernetes Clusters Against Network Misconfigurations|2025|145|Kubernetes has emerged as the de facto standard for container orchestration. Unfortunately, its increasing popularity has also made it an attractive t...|https://arxiv.org/abs/2506.21134v1|No
Query 3: Kubernetes & Container Logging|2507.07932v1|Guilin Zhang; Wulan Guo; Ziqi Tan|KIS-S: A GPU-Aware Kubernetes Inference Simulator with RL-Based Auto-Scaling|2025|145|Autoscaling GPU inference workloads in Kubernetes remains challenging due to the reactive and threshold-based nature of default mechanisms such as the...|https://arxiv.org/abs/2507.07932v1|No
Query 4: Container Orchestration & Scalability|2506.03694v1|Zhiqing Tang; Wentao Peng; Jianxiong Guo|LRScheduler: A Layer-aware and Resource-adaptive Container Scheduler in Edge Computing|2025|140|Lightweight containers provide an efficient approach for deploying computation-intensive applications in network edge. The layered storage structure o...|https://arxiv.org/abs/2506.03694v1|No
Query 4: Container Orchestration & Scalability|2506.02043v1|Gogulakrishnan Thiyagarajan; Prabhudarshi Nayak|Docker under Siege: Securing Containers in the Modern Era|2025|140|Containerization, driven by Docker, has transformed application development and deployment by enhancing efficiency and scalability. However, the rapid...|https://arxiv.org/abs/2506.02043v1|No
Query 4: Container Orchestration & Scalability|2509.09322v1|Jacopo Bufalino; Agathe Blaise; Stefano Secci|ORCA: Unveiling Obscure Containers In The Wild|2025|140|Modern software development increasingly depends on open-source libraries and third-party components, which are often encapsulated into containerized ...|https://arxiv.org/abs/2509.09322v1|No
Query 5: Compliance & SIEM|2511.21901v1|Hernan Huwyler|Standardized Threat Taxonomy for AI Security, Governance, and Regulatory Compliance|2025|150|The accelerating deployment of artificial intelligence systems across regulated sectors has exposed critical fragmentation in risk assessment methodol...|https://arxiv.org/abs/2511.21901v1|No
Query 5: Compliance & SIEM|2508.17851v1|Patrick Loic Foalem; Leuson Da Silva; Foutse Khomh|Logging Requirement for Continuous Auditing of Responsible Machine Learning-based Applications|2025|150|Machine learning (ML) is increasingly applied across industries to automate decision-making, but concerns about ethical and legal compliance remain du...|https://arxiv.org/abs/2508.17851v1|No
Query 5: Compliance & SIEM|2512.09938v1|Balakumar Ravindranath Kunthu; Ranganath Nagesh Taware; Sathish Krishna Anumula|Blockchain-Anchored Audit Trail Model for Transparent Inter-Operator Settlement|2025|150|The telecommunications and financial services industries face substantial challenges in inter-operator settlement processes, characterized by extended...|https://arxiv.org/abs/2512.09938v1|No
Query 6: Explainable AI for Security|2511.21901v1|Hernan Huwyler|Standardized Threat Taxonomy for AI Security, Governance, and Regulatory Compliance|2025|150|The accelerating deployment of artificial intelligence systems across regulated sectors has exposed critical fragmentation in risk assessment methodol...|https://arxiv.org/abs/2511.21901v1|No
