arXiv_ID,Title,Authors,Date,Category,Relevance_Score,Key_Metric,URL
2512.03644,FFTrainer: Fast Failover in Large-Language Model Training,"Bohan Zhao, Yuanhong Wang, Chenglin Liu, et al.",2025-12,RTO/RPO Optimization,9.8,98% RTO reduction,https://arxiv.org/abs/2512.03644
2509.03047,FlashRecovery: Fast and Low-Cost Recovery from Failures,Haijun Zhang et al.,2025-09,RTO/RPO Optimization,9.7,150-second recovery on 4800-device clusters,https://arxiv.org/abs/2509.03047
2506.15461,All is Not Lost: LLM Recovery without Checkpoints,"Nikolay Blagoev, Oğuzhan Ersoy, Lydia Yiyu Chen",2025-06,RTO/RPO Optimization,9.5,12% improvement over checkpointing,https://arxiv.org/abs/2506.15461
2402.02938,Design and Implementation of an Automated Disaster-recovery System for a Kubernetes Cluster Using LSTM,"Ji-Beom Kim, Je-Bum Choi, Eun-Sung Jung",2024-02,RTO/RPO Optimization,9.6,15-second recovery window,https://arxiv.org/abs/2402.02938
2512.20953,Diving into 3D Parallelism with Heterogeneous Spot Instance GPUs,"Yuxiao Wang, Yuedong Xu, et al.",2025-12,RTO/RPO Optimization,9.4,Local node state priority recovery,https://arxiv.org/abs/2512.20953
2410.18577,Resilience-based post disaster recovery optimization for infrastructure system via Deep Reinforcement Learning,"Huangbin Liang, Beatriz Moya, Francisco Chinesta, Eleni Chatzi",2024-10,RTO/RPO Optimization,9.3,DRL-based infrastructure recovery,https://arxiv.org/abs/2410.18577
2407.04656,Lazarus: Resilient and Elastic Training of Mixture-of-Experts Models,"Yongji Wu, Wenjie Qu, Xueshen Liu, et al.",2024-07,RTO/RPO Optimization,9.2,5.7x improvement under failures,https://arxiv.org/abs/2407.04656
2507.02295,Flotilla: A scalable modular and resilient federated learning framework for heterogeneous resources,"Roopkatha Banerjee, Prince Modi, Jinal Vyas, et al.",2025-07,RTO/RPO Optimization,9.1,Rapid failover within seconds,https://arxiv.org/abs/2507.02295
2509.04084,Optimizing Frequent Checkpointing via Low-Cost Differential,"Chenxuan Yao, Yuchong Hu, Feifan Liu, et al.",2025-09,RTO/RPO Optimization,8.9,89.2% training time reduction,https://arxiv.org/abs/2509.04084
2406.05546,Training Through Failure: Effects of Data Consistency in Parallel Machine Learning Training,"Ray Cao, Sherry Luo, Steve Gan, Sujeeth Jinesh",2024-06,RTO/RPO Optimization,8.8,10% accuracy improvement,https://arxiv.org/abs/2406.05546
2412.15411,MoEtion: Efficient and Reliable Sparse Checkpointing,"Swapnil Gandhi, Christos Kozyrakis",2024-12,RTO/RPO Optimization,8.7,4x reduction in overhead,https://arxiv.org/abs/2412.15411
2410.11720,ATTNChecker: Highly-Optimized Fault Tolerant Attention for Large Language Model Training,"Yuhang Liang, Xinyi Li, Jie Ren, et al.",2024-10,RTO/RPO Optimization,8.6,49x recovery overhead reduction,https://arxiv.org/abs/2410.11720
2511.11749,How Machine Learning-Data Driven Replication Strategies Enhance Fault Tolerance in Large-Scale Distributed Systems,Almond Kiruthu Murimi,2025-11,Data Replication & RPO,9.7,ML-driven adaptive replication,https://arxiv.org/abs/2511.11749
