query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
infrastructure-as-code disaster recovery|2511.21364v1|Ariful Islam; Md Rifat Hossen; Md. Mahmudul Arif|BanglaMM-Disaster: A Multimodal Transformer-Based Deep Learning Framework for Multiclass Disaster Classification in Bangla|2025|130|Natural disasters remain a major challenge for Bangladesh, so real-time monitoring and quick response systems are essential. In this study, we present...|https://arxiv.org/abs/2511.21364v1|Yes
infrastructure-as-code disaster recovery|2509.10308v1|Joshua Dimasaka; Christian Geiß; Robert Muir-Wood|GraphCSVAE: Graph Categorical Structured Variational Autoencoder for Spatiotemporal Auditing of Physical Vulnerability Towards Sustainable Post-Disaster Risk Reduction|2025|130|In the aftermath of disasters, many institutions worldwide face challenges in continually monitoring changes in disaster risk, limiting the ability of...|https://arxiv.org/abs/2509.10308v1|Yes
infrastructure-as-code disaster recovery|2512.01477v1|Saso Nikolovski; Pece Mitrevski|Modeling and Simulation of Data Protection Systems for Business Continuity and Disaster Recovery|2025|130|In today's corporate landscape, particularly where operations rely heavily on information technologies, establishing a robust business continuity plan...|https://arxiv.org/abs/2512.01477v1|Yes
infrastructure-as-code disaster recovery|2508.01310v1|Joshua Dimasaka; Christian Geiß; Emily So|GraphVSSM: Graph Variational State-Space Model for Probabilistic Spatiotemporal Inference of Dynamic Exposure and Vulnerability for Regional Disaster Resilience Assessment|2025|130|Regional disaster resilience quantifies the changing nature of physical risks to inform policy instruments ranging from local immediate recovery to in...|https://arxiv.org/abs/2508.01310v1|Yes
infrastructure-as-code disaster recovery|2504.11637v2|Yiming Xiao; Ali Mostafavi|DamageCAT: A Deep Learning Transformer Framework for Typology-Based Post-Disaster Building Damage Categorization|2025|130|Rapid, accurate, and descriptive building damage assessment is critical for directing post-disaster resources, yet current automated methods typically...|https://arxiv.org/abs/2504.11637v2|Yes
infrastructure-as-code disaster recovery|2512.00537v1|Berk Goksenin Tan; Oguzhan Ozcan|Speculating on the Role of Media Architecture in Post-disaster Rebuilding and Recovery: Insights from Architects and Interaction Designers|2025|130|In post-disaster contexts, design is not only about rebuilding structures but also about reimagining how architecture can become a communicative mediu...|https://arxiv.org/abs/2512.00537v1|Yes
infrastructure-as-code disaster recovery|2502.03127v1|Pandu Ranga Reddy Konala; Vimal Kumar; David Bainbridge|A Framework for Measuring the Quality of Infrastructure-as-Code Scripts|2025|130|Infrastructure as Code (IaC) has become integral to modern software development, enabling automated and consistent configuration of computing environm...|https://arxiv.org/abs/2502.03127v1|Yes
infrastructure-as-code disaster recovery|2503.12685v2|Leonardo Grando; Juan Fernando Galindo Jaramillo; Jose Roberto Emiliano Leite|Agent-Based Simulation of UAV Battery Recharging for IoT Applications: Precision Agriculture, Disaster Recovery, and Dengue Vector Control|2025|130|The low battery autonomy of Unnamed Aerial Vehicles (UAVs or drones) can make smart farming (precision agriculture), disaster recovery, and the fighti...|https://arxiv.org/abs/2503.12685v2|Yes
infrastructure-as-code disaster recovery|2502.16644v3|Yasser Pouresmaeil; Saleh Afroogh; Junfeng Jiao|Mapping out AI Functions in Intelligent Disaster (Mis)Management and AI-Caused Disasters|2025|130|This study maps the functions of artificial intelligence in disaster (mis)management. It begins with a classification of disasters in terms of their c...|https://arxiv.org/abs/2502.16644v3|Yes
infrastructure-as-code disaster recovery|2506.03797v1|Khalil Teber; Mélanie Weynants; Fabian Gans|Geo-Disasters: geocoding climate-related events in the international disaster database EM-DAT|2025|130|Climate hazards can escalate into humanitarian disasters. Understanding their trajectories -- considering hazard intensity, human exposure, and societ...|https://arxiv.org/abs/2506.03797v1|Yes
