query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
LLM documentation generation cloud infrastructure|2510.26213v2|Hengrui Kang; Zhuangcheng Gu; Zhiyuan Zhao|OmniDocLayout: Towards Diverse Document Layout Generation via Coarse-to-Fine LLM Learning|2025|130|Document AI has advanced rapidly and is attracting increasing attention. Yet, while most efforts have focused on document layout analysis (DLA), its g...|https://arxiv.org/abs/2510.26213v2|Yes
LLM documentation generation cloud infrastructure|2508.05821v1|Shadman Sakib; Ajay Katangur; Rahul Dubey|A Dynamic Approach to Load Balancing in Cloud Infrastructure: Enhancing Energy Efficiency and Resource Utilization|2025|130|Cloud computing has grown rapidly in recent years, mainly due to the sharp increase in data transferred over the internet. This growth makes load bala...|https://arxiv.org/abs/2508.05821v1|Yes
LLM documentation generation cloud infrastructure|2509.24050v2|Wenzhi Fang; Dong-Jun Han; Liangqi Yuan|Collaborative Device-Cloud LLM Inference through Reinforcement Learning|2025|130|Device-cloud collaboration has emerged as a promising paradigm for deploying large language models (LLMs), combining the efficiency of lightweight on-...|https://arxiv.org/abs/2509.24050v2|Yes
LLM documentation generation cloud infrastructure|2506.08726v2|Nelvin Tan; Zian Seng; Liang Zhang|Improved LLM Agents for Financial Document Question Answering|2025|130|Large language models (LLMs) have shown impressive capabilities on numerous natural language processing tasks. However, LLMs still struggle with numer...|https://arxiv.org/abs/2506.08726v2|Yes
LLM documentation generation cloud infrastructure|2505.09142v1|Seungbeom Choi; Jeonghoe Goo; Eunjoo Jeon|ELIS: Efficient LLM Iterative Scheduling System with Response Length Predictor|2025|130|We propose ELIS, a serving system for Large Language Models (LLMs) featuring an Iterative Shortest Remaining Time First (ISRTF) scheduler designed to ...|https://arxiv.org/abs/2505.09142v1|Yes
LLM documentation generation cloud infrastructure|2505.11565v2|Sarthak Munshi; Swapnil Pathak; Sonam Ghatode|ACSE-Eval: Can LLMs threat model real-world cloud infrastructure?|2025|130|While Large Language Models have shown promise in cybersecurity applications, their effectiveness in identifying security threats within cloud deploym...|https://arxiv.org/abs/2505.11565v2|Yes
LLM documentation generation cloud infrastructure|2505.13479v1|Mohammad Akyash; Kimia Azar; Hadi Kamali|RTL++: Graph-enhanced LLM for RTL Code Generation|2025|130|As hardware design complexity escalates, there is an urgent need for advanced automation in electronic design automation (EDA). Traditional register t...|https://arxiv.org/abs/2505.13479v1|Yes
LLM documentation generation cloud infrastructure|2509.05303v1|Sam Davidson; Li Sun; Bhavana Bhasker|Multi-IaC-Eval: Benchmarking Cloud Infrastructure as Code Across Multiple Formats|2025|130|Infrastructure as Code (IaC) is fundamental to modern cloud computing, enabling teams to define and manage infrastructure through machine-readable con...|https://arxiv.org/abs/2509.05303v1|Yes
LLM documentation generation cloud infrastructure|2508.08322v1|Muhammad Haseeb|Context Engineering for Multi-Agent LLM Code Assistants Using Elicit, NotebookLM, ChatGPT, and Claude Code|2025|130|Large Language Models (LLMs) have shown promise in automating code generation and software engineering tasks, yet they often struggle with complex, mu...|https://arxiv.org/abs/2508.08322v1|Yes
LLM documentation generation cloud infrastructure|2507.07671v1|Jovan Prodanov; Blaž Bertalanič; Carolina Fortuna|Multi-agent Reinforcement Learning-based In-place Scaling Engine for Edge-cloud Systems|2025|100|Modern edge-cloud systems face challenges in efficiently scaling resources to handle dynamic and unpredictable workloads. Traditional scaling approach...|https://arxiv.org/abs/2507.07671v1|Yes
LLM documentation generation cloud infrastructure|2502.18650v2|Joachim De Baer; A. Seza Doğruöz; Thomas Demeester|Single- vs. Dual-Prompt Dialogue Generation with LLMs for Job Interviews in Human Resources|2025|100|Optimizing language models for use in conversational agents requires large quantities of example dialogues. Increasingly, these dialogues are syntheti...|https://arxiv.org/abs/2502.18650v2|Yes
LLM documentation generation cloud infrastructure|2506.12270v1|Zhenning Yang; Archit Bhatnagar; Yiming Qiu|Cloud Infrastructure Management in the Age of AI Agents|2025|100|Cloud infrastructure is the cornerstone of the modern IT industry. However, managing this infrastructure effectively requires considerable manual effo...|https://arxiv.org/abs/2506.12270v1|Yes
LLM documentation generation cloud infrastructure|2410.12601v3|Yixi Ding; Jiaying Wu; Tongyao Zhu|CCSBench: Evaluating Compositional Controllability in LLMs for Scientific Document Summarization|2024|100|To broaden the dissemination of scientific knowledge to diverse audiences, it is desirable for scientific document summarization systems to simultaneo...|https://arxiv.org/abs/2410.12601v3|Yes
LLM documentation generation cloud infrastructure|2501.16744v1|Nimesh Jha; Shuxin Lin; Srideepika Jayaraman|LLM Assisted Anomaly Detection Service for Site Reliability Engineers: Enhancing Cloud Infrastructure Resilience|2025|100|This paper introduces a scalable Anomaly Detection Service with a generalizable API tailored for industrial time-series data, designed to assist Site ...|https://arxiv.org/abs/2501.16744v1|Yes
LLM documentation generation cloud infrastructure|2505.18019v1|Rashmi Gupta; Aditya K Gupta; Aarav Jain|LLM assisted web application functional requirements generation: A case study of four popular LLMs over a Mess Management System|2025|100|Like any other discipline, Large Language Models (LLMs) have significantly impacted software engineering by helping developers generate the required a...|https://arxiv.org/abs/2505.18019v1|Yes
automated runbook generation procedures|2504.06370v1|Kaitlyn Clancy; Siwen Xie; Griffin Smith|Automated Fabrication of Magnetic Soft Microrobots|2025|130|The advent of 3D printing has revolutionized many industries and has had similar improvements for soft robots. However, many challenges persist for th...|https://arxiv.org/abs/2504.06370v1|Yes
automated runbook generation procedures|2509.01616v1|Konstantinos Kitsios; Marco Castelluccio; Alberto Bacchelli|Automated Generation of Issue-Reproducing Tests by Combining LLMs and Search-Based Testing|2025|130|Issue-reproducing tests fail on buggy code and pass once a patch is applied, thus increasing developers' confidence that the issue has been resolved a...|https://arxiv.org/abs/2509.01616v1|Yes
automated runbook generation procedures|2506.18727v1|Xingyu Xiao; Jiejuan Tong; Jun Sun|AutoGraph: A Knowledge-Graph Framework for Modeling Interface Interaction and Automating Procedure Execution in Digital Nuclear Control Rooms|2025|130|Digitalization in nuclear power plant (NPP) control rooms is reshaping how operators interact with procedures and interface elements. However, existin...|https://arxiv.org/abs/2506.18727v1|Yes
automated runbook generation procedures|2506.06962v3|Jingyuan Qi; Zhiyang Xu; Qifan Wang|AR-RAG: Autoregressive Retrieval Augmentation for Image Generation|2025|130|We introduce Autoregressive Retrieval Augmentation (AR-RAG), a novel paradigm that enhances image generation by autoregressively incorporating kneares...|https://arxiv.org/abs/2506.06962v3|Yes
automated runbook generation procedures|2507.22429v1|Erwin de Gelder; Maren Buermann; Olaf Op den Camp|Comparing Normalizing Flows with Kernel Density Estimation in Estimating Risk of Automated Driving Systems|2025|130|The development of safety validation methods is essential for the safe deployment and operation of Automated Driving Systems (ADSs). One of the goals ...|https://arxiv.org/abs/2507.22429v1|Yes
automated runbook generation procedures|2504.17355v1|Xiaohan Huang; Dongjie Wang; Zhiyuan Ning|Collaborative Multi-Agent Reinforcement Learning for Automated Feature Transformation with Graph-Driven Path Optimization|2025|130|Feature transformation methods aim to find an optimal mathematical feature-feature crossing process that generates high-value features and improves th...|https://arxiv.org/abs/2504.17355v1|Yes
automated runbook generation procedures|2505.16801v2|Eleftherios Kalafatis; Konstantinos Mitsis; Konstantia Zarkogianni|A modular framework for automated evaluation of procedural content generation in serious games with deep reinforcement learning agents|2025|130|Serious Games (SGs) are nowadays shifting focus to include procedural content generation (PCG) in the development process as a means of offering perso...|https://arxiv.org/abs/2505.16801v2|Yes
automated runbook generation procedures|2505.05474v1|Beichen Wen; Haozhe Xie; Zhaoxi Chen|3D Scene Generation: A Survey|2025|130|3D scene generation seeks to synthesize spatially structured, semantically meaningful, and photorealistic environments for applications such as immers...|https://arxiv.org/abs/2505.05474v1|Yes
automated runbook generation procedures|2404.17586v1|Jeremy R. Harper|The Future of Scientific Publishing: Automated Article Generation|2024|100|This study introduces a novel software tool leveraging large language model (LLM) prompts, designed to automate the generation of academic articles fr...|https://arxiv.org/abs/2404.17586v1|Yes
