query_name|arxiv_id|authors|title|year|quality_score|summary|arxiv_url|pdf_downloaded
dependency analysis cloud infrastructure|2508.05821v1|Shadman Sakib; Ajay Katangur; Rahul Dubey|A Dynamic Approach to Load Balancing in Cloud Infrastructure: Enhancing Energy Efficiency and Resource Utilization|2025|130|Cloud computing has grown rapidly in recent years, mainly due to the sharp increase in data transferred over the internet. This growth makes load bala...|https://arxiv.org/abs/2508.05821v1|No
dependency analysis cloud infrastructure|2507.19953v1|David Jannis Schmidt; Grigory Fridman; Florian von Zabiensky|Offloading tracing for real-time systems using a scalable cloud infrastructure|2025|130|Real-time embedded systems require precise timing and fault detection to ensure correct behavior. Traditional tracing tools often rely on local deskto...|https://arxiv.org/abs/2507.19953v1|No
dependency analysis cloud infrastructure|2507.07671v1|Jovan Prodanov; Blaž Bertalanič; Carolina Fortuna|Multi-agent Reinforcement Learning-based In-place Scaling Engine for Edge-cloud Systems|2025|100|Modern edge-cloud systems face challenges in efficiently scaling resources to handle dynamic and unpredictable workloads. Traditional scaling approach...|https://arxiv.org/abs/2507.07671v1|No
dependency analysis cloud infrastructure|2503.07124v1|Guillaume Fieni; Romain Rouvoy; Lionel Seinturier|xPUE: Extending Power Usage Effectiveness Metrics for Cloud Infrastructures|2025|100|The energy consumption analysis and optimization of data centers have been an increasingly popular topic over the past few years. It is widely recogni...|https://arxiv.org/abs/2503.07124v1|No
dependency analysis cloud infrastructure|2506.12270v1|Zhenning Yang; Archit Bhatnagar; Yiming Qiu|Cloud Infrastructure Management in the Age of AI Agents|2025|100|Cloud infrastructure is the cornerstone of the modern IT industry. However, managing this infrastructure effectively requires considerable manual effo...|https://arxiv.org/abs/2506.12270v1|No
dependency analysis cloud infrastructure|2510.20211v1|Zhenning Yang; Hui Guan; Victor Nicolet|Automated Cloud Infrastructure-as-Code Reconciliation with AI Agents|2025|100|Cloud infrastructure is managed through a mix of interfaces -- traditionally, cloud consoles, command-line interfaces (CLI), and SDKs are the tools of...|https://arxiv.org/abs/2510.20211v1|No
dependency analysis cloud infrastructure|2411.03376v1|Zerui Wang; Yan Liu; Jun Huang|An Open API Architecture to Discover the Trustworthy Explanation of Cloud AI Services|2024|70|This article presents the design of an open-API-based explainable AI (XAI) service to provide feature contribution explanations for cloud AI services....|https://arxiv.org/abs/2411.03376v1|No
dependency analysis cloud infrastructure|2405.11368v1|Michael Molle; Ulrich Raithel; Dirk Kraemer|Security of Cloud Services with Low-Performance Devices in Critical Infrastructures|2024|70|As part of the Internet of Things (IoT) and Industry 4.0 Cloud services are increasingly interacting with low-performance devices that are used in aut...|https://arxiv.org/abs/2405.11368v1|No
dependency analysis cloud infrastructure|2404.08306v1|Jan von der Assen; Christian Killer; Alessandro De Carli|Performance Analysis of Decentralized Physical Infrastructure Networks and Centralized Clouds|2024|70|The advent of Decentralized Physical Infrastructure Networks (DePIN) represents a shift in the digital infrastructure of today's Internet. While Centr...|https://arxiv.org/abs/2404.08306v1|No
dependency analysis cloud infrastructure|1612.09059v1|Amani S. Ibrahim; James Hamlyn-Harris; John Grundy|Emerging Security Challenges of Cloud Virtual Infrastructure|2016|60|The cloud computing model is rapidly transforming the IT landscape. Cloud computing is a new computing paradigm that delivers computing resources as a...|https://arxiv.org/abs/1612.09059v1|No
dependency analysis cloud infrastructure|1707.09317v1|Frederick Nwanganga; Mandana Saebi; Gregory Madey|A Minimum-Cost Flow Model for Workload Optimization on Cloud Infrastructure|2017|60|Recent technology advancements in the areas of compute, storage and networking, along with the increased demand for organizations to cut costs while r...|https://arxiv.org/abs/1707.09317v1|No
dependency analysis cloud infrastructure|2205.05078v1|Sreekrishnan Venkateswaran; Santonu Sarkar|Modeling Operational Fairness of Hybrid Cloud Brokerage|2022|60|Cloud service brokerage is an emerging technology that attempts to simplify the consumption and operation of hybrid clouds. Today's cloud brokers atte...|https://arxiv.org/abs/2205.05078v1|No
dependency analysis cloud infrastructure|2012.04880v1|Karthick Shankar; Pengcheng Wang; Ran Xu|JANUS: Benchmarking Commercial and Open-Source Cloud and Edge Platforms for Object and Anomaly Detection Workloads|2020|60|With diverse IoT workloads, placing compute and analytics close to where data is collected is becoming increasingly important. We seek to understand w...|https://arxiv.org/abs/2012.04880v1|No
dependency analysis cloud infrastructure|1310.2148v1|Gary A. McGilvary; Josep Rius; Íñigo Goiri|C2MS: Dynamic Monitoring and Management of Cloud Infrastructures|2013|60|Server clustering is a common design principle employed by many organisations who require high availability, scalability and easier management of thei...|https://arxiv.org/abs/1310.2148v1|No
dependency analysis cloud infrastructure|1204.5805v1|C. Widanapathirana; J. Li; Y. A. Sekercioglu|Intelligent Automated Diagnosis of Client Device Bottlenecks in Private Clouds|2012|60|We present an automated solution for rapid diagnosis of client device problems in private cloud environments: the Intelligent Automated Client Diagnos...|https://arxiv.org/abs/1204.5805v1|No
critical path identification distributed systems|2504.02322v1|Zhuoran Tan; Qiyuan Wang; Christos Anagnostopoulos|Distributed Log-driven Anomaly Detection System based on Evolving Decision Making|2025|130|Effective anomaly detection from logs is crucial for enhancing cybersecurity defenses by enabling the early identification of threats. Despite advance...|https://arxiv.org/abs/2504.02322v1|No
critical path identification distributed systems|2510.13203v1|Mehdi Zekriyapanah Gashti|Scrutiny new framework in integrated distributed reliable systems|2025|100|In this paper we represent a new framework for integrated distributed systems. In the proposed framework we have used three parts to increase Satisfac...|https://arxiv.org/abs/2510.13203v1|No
critical path identification distributed systems|2405.15178v3|Moh. Kamalul Wafi; Milad Siami|Distributed Adaptive Control of Disturbed Interconnected Systems with High-Order Tuners|2024|100|This paper addresses the challenge of network synchronization under limited communication, involving heterogeneous agents with different dynamics and ...|https://arxiv.org/abs/2405.15178v3|No
critical path identification distributed systems|2403.13602v1|Simon Stock; Davood Babazadeh; Christian Becker|Bayesian Physics-informed Neural Networks for System Identification of Inverter-dominated Power Systems|2024|100|While the uncertainty in generation and demand increases, accurately estimating the dynamic characteristics of power systems becomes crucial for emplo...|https://arxiv.org/abs/2403.13602v1|No
critical path identification distributed systems|2412.09387v1|Serhii Svystun; Oleksandr Melnychenko; Pavlo Radiuk|Distributed Intelligent System Architecture for UAV-Assisted Monitoring of Wind Energy Infrastructure|2024|100|With the rapid development of green energy, the efficiency and reliability of wind turbines are key to sustainable renewable energy production. For th...|https://arxiv.org/abs/2412.09387v1|No
critical path identification distributed systems|2407.19253v1|Sungjoo Chung; Ying Zhang; Zhaoyu Wang|Taylor-Expansion-Based Robust Power Flow in Unbalanced Distribution Systems: A Hybrid Data-Aided Method|2024|100|Traditional power flow methods often adopt certain assumptions designed for passive balanced distribution systems, thus lacking practicality for unbal...|https://arxiv.org/abs/2407.19253v1|No
critical path identification distributed systems|2403.09445v3|Bekir Turkkan; Elvis Rodrigues; Tevfik Kosar|How to Evaluate Distributed Coordination Systems? -- A Survey and Analysis|2024|100|Coordination services and protocols are critical components of distributed systems and are essential for providing consistency, fault tolerance, and s...|https://arxiv.org/abs/2403.09445v3|No
critical path identification distributed systems|2506.11304v1|Qiuyu Miao; Zhigang Wu|A Hybrid Adaptive Nash Equilibrium Solver for Distributed Multi-Agent Systems with Game-Theoretic Jump Triggering|2025|100|This paper presents a hybrid adaptive Nash equilibrium solver for distributed multi-agent systems incorporating game-theoretic jump triggering mechani...|https://arxiv.org/abs/2506.11304v1|No
critical path identification distributed systems|2507.22648v1|Themistoklis Charalambous; Zheng Chen; Christoforos N. Hadjicostis|Distributed Average Consensus in Wireless Multi-Agent Systems with Over-the-Air Aggregation|2025|100|In this paper, we address the average consensus problem of multi-agent systems over wireless networks. We propose a distributed average consensus algo...|https://arxiv.org/abs/2507.22648v1|No
critical path identification distributed systems|2407.01764v2|J. Gregory Pauloski; Valerie Hayot-Sasson; Logan Ward|Object Proxy Patterns for Accelerating Distributed Applications|2024|100|Workflow and serverless frameworks have empowered new approaches to distributed application design by abstracting compute resources. However, their ty...|https://arxiv.org/abs/2407.01764v2|No
critical path identification distributed systems|2506.16392v1|Gonçalo Granjal Cruz; Balazs Renczes; Mark C Runacres|State-Space Kolmogorov Arnold Networks for Interpretable Nonlinear System Identification|2025|100|While accurate, black-box system identification models lack interpretability of the underlying system dynamics. This paper proposes State-Space Kolmog...|https://arxiv.org/abs/2506.16392v1|No
critical path identification distributed systems|2409.07642v1|Tianyu Dai; Khaled Aljanaideh; Rong Chen|Deep Learning of Dynamic Systems using System Identification Toolbox(TM)|2024|100|MATLAB(R) releases over the last 3 years have witnessed a continuing growth in the dynamic modeling capabilities offered by the System Identification ...|https://arxiv.org/abs/2409.07642v1|No
critical path identification distributed systems|2409.09075v1|Maurizio Vassallo; Alireza Bahmanyar; Laurine Duchesne|A Systematic Procedure for Topological Path Identification with Raw Data Transformation in Electrical Distribution Networks|2024|100|This paper introduces a systematic approach to address the topological path identification (TPI) problem in power distribution networks. Our approach ...|https://arxiv.org/abs/2409.09075v1|No
critical path identification distributed systems|2407.16121v2|Yanqing Xu; Erik G. Larsson; Eduard A. Jorswieck|Distributed Signal Processing for Extremely Large-Scale Antenna Array Systems: State-of-the-Art and Future Directions|2024|70|Extremely large-scale antenna arrays (ELAA) play a critical role in enabling the functionalities of next generation wireless communication systems. Ho...|https://arxiv.org/abs/2407.16121v2|No
