arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2301.11050,"Minerva: A File-Based Ransomware Detector","Dorjan Hitaj, Giulio Pagnotta, Fabio De Gaspari, Lorenzo De Carli, Luigi V. Mancini","2023-01-26, v4 2025-07-11",15,"Not specified",9.5,"File-based behavioral ransomware detection achieving >99% accuracy with <0.52s detection time, designed to resist evasion attacks. ACM ASIACCS 2025 accepted."
2407.19153,"A Survey of Malware Detection Using Deep Learning","Ahmed Bensaoud, Jugal Kalita, Mahmoud Bensaoud","2024-07-27",15,"Not specified",8.0,"Comprehensive survey of deep learning methods for malware detection across multiple OS (Windows, macOS, Linux, iOS, Android). Addresses interpretability challenges and adversarial vulnerabilities."
2408.16515,"CanCal: Towards Real-time and Lightweight Ransomware Detection and Response in Industrial Environments","Shenao Wang, Feng Dong, Hangfeng Yang, Jingheng Xu, Haoyu Wang","2024-08-29",12,"Not specified",9.0,"Real-time ransomware detection with 30ms inference, tested on 1761 ransomware variants. 91% CPU reduction, deployed on 3.32M endpoints with 61 prevented attacks."
2409.04190,"Mind The Gap: Can Air-Gaps Keep Your Private Data Secure?","Mordechai Guri","2024-09-06",18,"Not specified",7.5,"Surveys cyber incidents targeting air-gap networks, discusses adversarial attacks for data exfiltration from isolated systems, proposes defensive countermeasures."
2410.15215,"DataSeal: Ensuring the Verifiability of Private Computation on Encrypted Data","Muhammad Husni Santriaji, Jiaqi Xue, Qian Lou, Yan Solihin","2024-10-19",17,"Not specified",8.5,"Combines FHE with algorithm-based fault tolerance for verifiable encrypted computation. IEEE S&P 2025 venue. Addresses data integrity in cloud computing."
2412.21084,"On the Generalizability of Machine Learning-based Ransomware Detection in Block Storage","Nicolas Reategui, Roman Pletka, Dionysios Diamantopoulos","2024-12-30",11,"Not specified",9.0,"Kernel-based framework for ransomware detection at storage level using IO operations. 12.8% higher F1 scores, 17.1% lower false positive rates."
2501.05387,"Integrating Explainable AI for Effective Malware Detection in Encrypted Network Traffic","Sileshi Nibret Zeleke, Amsalu Fentie Jember, Mario Bochicchio","2025-01-09",9,"Not specified",8.5,"XGBoost-based malware detection in encrypted traffic without decryption. 99.32% accuracy, SHAP explainability analysis. 54 malware families detected."
2502.10556,"Recent Advances in Malware Detection: Graph Learning and Explainability","Hossein Shokouhinejad, Roozbeh Razavi-Far, Hesamodin Mohammadian, Mahdi Rabbani, Samuel Ansong, Griffin Higgins, Ali A Ghorbani","2025-02-14, v2 2025-07-22",20,"Not specified",7.5,"Survey of graph learning and explainability in malware detection. Covers feature engineering, embedding methods, and transparency approaches."
2503.20497,"A Blockchain-Enabled Framework for Storage and Retrieval of Social Data","Aishwarya Parab, Prakhar Pradhan, Yogesh Simmhan, Arnab K. Paul","2025-03-26",12,"Not specified",7.0,"Blockchain-based secure storage using Hyperledger Fabric. Addresses provenance and smart contract security for untrusted data sources."
2504.07041,"Efficient Storage Integrity in Adversarial Settings","Quinn Burke, Ryan Sheatsley, Yohan Beugin, Eric Pauley, Owen Hines, Michael Swift, Patrick McDaniel","2025-04-09",15,"University of Wisconsin-Madison",9.0,"PAC hybrid approach for storage integrity. 5.5X throughput improvement over state-of-art. IEEE S&P 2025. Defers write commitments while ensuring read integrity."
