arxiv_id,title,authors,submission_date,pages,primary_topic,secondary_topics,ai_ml_component,practical_dr_focus,file_path
2410.18577,"Resilience-based post disaster recovery optimization for infrastructure system via Deep Reinforcement Learning","Huangbin Liang, Beatriz Moya, Francisco Chinesta, Eleni Chatzi","2024-10-24",29,"Infrastructure Recovery","Deep Reinforcement Learning, Graph Models, Optimization",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2410.18577_resilience_post_disaster_recovery_drl.pdf
2510.16034,"Disaster Management in the Era of Agentic AI Systems: A Vision for Collective Human-Machine Intelligence for Augmented Resilience","Bo Li, Junwei Ma, Kai Yin, Yiming Xiao, Chia-Wei Hsu, Ali Mostafavi","2025-10-16",20,"Disaster Management","Multi-Agent AI, Risk Analytics, Situational Awareness",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2510.16034_disaster_management_agentic_ai.pdf
2504.21410,"Tolerating Disasters with Hierarchical Consensus","Wassim Yahyaoui, Joachim Bruneau-Queyreix, Jérémie Decouchant, Marcus Völp","2025-04-30",10,"Byzantine Consensus","Geo-replication, Fault Tolerance, Blockchain",No,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2504.21410_tolerating_disasters_hierarchical_consensus.pdf
2512.22721,"Cyber Resilience in Next-Generation Networks: Threat Landscape, Theoretical Foundations, and Design Paradigms","Junaid Farooq, Quanyan Zhu","2025-12-27",45,"Network Resilience","Zero Trust, Game Theory, AI-Driven Response",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2512.22721_cyber_resilience_next_gen_networks.pdf
2509.08595,"The Role of Legacy Mobile Networks in Infrastructure Resilience: Evidence from the Southern Brazil Flood","Daniel Meyer, Lisandro Z Granville, Leandro M. Bertholdo","2025-09-10",6,"Infrastructure Resilience","Network Architecture, Power Supply, Crisis Response",No,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2509.08595_legacy_networks_infrastructure_resilience.pdf
2510.19295,"Reliability and Resilience of AI-Driven Critical Network Infrastructure under Cyber-Physical Threats","Konstantinos A. Lizos, Leandros Maglaras, Elena Petrovik, Saied M. Abd El-atty, Georgios Tsachtsiris, Mohamed Amine Ferrag","2025-10-22",11,"Network Resilience","AI Anomaly Detection, Adaptive Routing, Redundancy",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2510.19295_ai_driven_critical_network_infrastructure.pdf
2503.12228,"Adaptive Fault Tolerance Mechanisms of Large Language Models in Cloud Computing Environments","Yihong Jin, Ze Yang, Xinhe Xu, Yihan Zhang, Shuyang Ji","2025-03-15",12,"Cloud Fault Tolerance","LLM Resilience, Checkpointing, Dynamic Allocation",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2503.12228_adaptive_fault_tolerance_llm_cloud.pdf
2402.02938,"Design and Implementation of an Automated Disaster-recovery System for a Kubernetes Cluster Using LSTM","Ji-Beom Kim, Je-Bum Choi, Eun-Sung Jung","2024-02-05",10,"Kubernetes DR","LSTM Prediction, CPU Scheduling, Automation",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2402.02938_automated_disaster_recovery_kubernetes.pdf
2412.01999,"Hamava: Fault-tolerant Reconfigurable Geo-Replication on Heterogeneous Clusters","Tejas Mane, Xiao Li, Mohammad Sadoghi, Mohsen Lesani","2024-12-02",15,"Geo-Replication","Dynamic Membership, Distributed Databases, Consensus",No,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2412.01999_hamava_geo_replication.pdf
2503.02890,"Predicting Cascade Failures in Interdependent Urban Infrastructure Networks","Yinzhou Tang, Jinghua Piao, Huandong Wang, Shaw Rajib, Yong Li","2025-02-26",12,"Cascade Prediction","Graph Neural Networks, Infrastructure Interdependencies",Yes,Yes,/Users/tamnguyen/Documents/GitHub/ksi_watch/ops_sysBackup/references/cluster_6_disaster_recovery/2503.02890_cascade_failures_infrastructure.pdf
