ID,Filename,Title,Organization,Publication_Year,Category,Topics,Focus_Area,Key_Framework
1,01_ENISA_Cyber_Stress_Tests_Handbook_2025.pdf,"Handbook for Cyber Stress Tests",ENISA,2025,Regulatory Framework,"Cyber resilience testing, NIS2, DORA, stress testing methodology, CI resilience",Resilience Testing Framework,NIS2/DORA
2,02_NIST_Cybersecurity_Framework_2.0.pdf,"The NIST Cybersecurity Framework (CSF) 2.0",NIST,2024,Regulatory Framework,"Govern, Identify, Protect, Detect, Respond, Recover, cybersecurity risk management",Cybersecurity Governance,NIST CSF 2.0
3,03_FEMA_National_Disaster_Recovery_Framework_2024.pdf,"National Disaster Recovery Framework (Third Edition)",FEMA,2024,Disaster Recovery,"Disaster recovery planning, recovery support, FEMA coordination, disaster response",Disaster Recovery Planning,NDRF
4,04_ECB_Cyber_Resilience_Stress_Test_2024.pdf,"ECB Concludes Cyber Resilience Stress Test - Press Release",ECB,2024,Regulatory Compliance,"Bank cyber resilience, DORA compliance, stress test results, recovery capabilities",Banking Resilience Testing,DORA
5,05_AWS_Disaster_Recovery_Workloads.pdf,"Disaster Recovery of Workloads on AWS",AWS,2024,Cloud Infrastructure,"Cloud disaster recovery, RTO/RPO, backup strategies, multi-region deployments",Cloud DR Strategies,AWS Architecture
6,06_NIST_CSF_2.0_SMB_Quick_Start.pdf,"NIST CSF 2.0 - Small Business Quick Start Guide",NIST,2024,Implementation Guide,"Small business security, CSF 2.0 profiles, practical implementation",SMB Cybersecurity,NIST CSF 2.0
7,07_ECB_Cyber_Risk_Supervisory_Perspective.pdf,"Cyber Risk - A Supervisory Perspective",ECB,2024,Regulatory Guidance,"Cyber risk supervision, banking cybersecurity, regulatory expectations, incident response",Financial Supervision,ECB Oversight
8,08_FEMA_NDRF_FAQ_2025.pdf,"NDRF - Frequently Asked Questions",FEMA,2025,Guidance Document,"NDRF implementation, disaster recovery clarifications, FEMA coordination",DR Implementation FAQ,NDRF
9,09_KPMG_ECB_Cyber_Stress_Test_Analysis.pdf,"KPMG 2024 ECB Cyber Stress Test Analysis",KPMG,2024,Analysis Report,"Stress test methodology, banking resilience, lessons learned, DORA preparation",Banking Stress Test Analysis,ECB/DORA
10,10_ENISA_NIS2_Technical_Implementation_Guidance.pdf,"ENISA Technical Implementation Guidance - NIS2 Cybersecurity Measures",ENISA,2025,Technical Guidance,"NIS2 cybersecurity measures, DNS, cloud, CDN, MSP compliance, technical requirements",NIS2 Technical Compliance,NIS2 Directive
11,11_Accenture_State_of_Cybersecurity_Resilience_2025.pdf,"State of Cybersecurity Resilience 2025",Accenture,2025,Research Report,"Cyber resilience metrics, AI-driven threats, incident response, organizational maturity",Resilience Assessment & Strategy,Enterprise Resilience
12,12_NIST_SP_1299_CSF_Resource_Guide.pdf,"NIST SP 1299: CSF 2.0 Resource & Overview Guide",NIST,2024,Resource Guide,"CSF 2.0 functions, governance implementation, practical guidance, organizational context",CSF 2.0 Deep Dive,NIST CSF 2.0
13,13_Gemserv_ISO27001_GDPR_Mapping.pdf,"ISO/IEC 27001 and the General Data Protection Regulation (GDPR)",Gemserv,2019,Compliance Framework,"ISO 27001, GDPR alignment, compliance mapping, data protection, information security",Compliance Mapping,ISO 27001/GDPR
14,14_NQA_GDPR_ISO27001_Mapping_Table.pdf,"GDPR vs ISO 27001 Mapping Table",NQA,2023,Reference Document,"Control mapping, compliance requirements, assessment criteria, implementation guidance",Control Mapping Reference,ISO 27001/GDPR
15,15_Veritis_Cloud_Disaster_Recovery_Plan.pdf,"Cloud-Based Disaster Recovery Plan Whitepaper",Veritis,2023,Best Practices,"Cloud DR strategy, RTO/RPO planning, backup solutions, recovery procedures, cost optimization",Cloud DR Best Practices,Cloud Architecture
