Rank,ArXiv_ID,Title,Year,First_Author,Relevance_Score,Category,Direct_URL
1,2502.03614v1,A Novel Zero-Touch Zero-Trust AI/ML Enablement Framework for IoT Network Security,2025,Sushil Shakya,22.0,cs.LG,https://arxiv.org/abs/2502.03614v1
2,2511.18568v1,Zero-Trust Strategies for O-RAN Cellular Networks: Principles Challenges and Research Directions,2025,Charalampos Katsis,18.0,cs.CR,https://arxiv.org/abs/2511.18568v1
3,2509.09005v1,6G Resilience -- White Paper,2025,Hirley Alves,18.0,eess.SP,https://arxiv.org/abs/2509.09005v1
4,2508.05707v1,System Security Framework for 5G Advanced/6G IoT Integrated Terrestrial Network-Non-Terrestrial Network with AI-Enabled Cloud Security,2025,Sasa Maric,18.0,cs.CR,https://arxiv.org/abs/2508.05707v1
5,2508.04526v3,Policy Design in Zero-Trust Distributed Networks: Challenges and Solutions,2025,Fannya R. Sandjaja,18.0,cs.NI,https://arxiv.org/abs/2508.04526v3
6,2501.09033v1,Adaptive Cybersecurity: Dynamically Retrainable Firewalls for Real-Time Network Protection,2025,Sina Ahmadi,18.0,cs.CR,https://arxiv.org/abs/2501.09033v1
7,2501.06281v1,Autonomous Identity-Based Threat Segmentation in Zero Trust Architectures,2025,Sina Ahmadi,18.0,cs.CR,https://arxiv.org/abs/2501.06281v1
8,2512.19563v1,On Network-Aware Semantic Communication and Edge-Cloud Collaborative Intelligence Systems,2025,Murdadha Nasif,16.0,cs.NI,https://arxiv.org/abs/2512.19563v1
9,2512.10280v1,Graph Neural Network Based Adaptive Threat Detection for Cloud Identity and Access Management Logs,2025,Venkata Tanuja Madireddy,16.0,cs.CR,https://arxiv.org/abs/2512.10280v1
10,2510.21024v1,JSTprove: Pioneering Verifiable AI for a Trustless Future,2025,Jonathan Gold,16.0,cs.CR,https://arxiv.org/abs/2510.21024v1
11,2510.09494v1,The Data Enclave Advantage: A New Paradigm for Least-Privileged Data Access in a Zero-Trust World,2025,Nico Bistolfi,16.0,cs.CR,https://arxiv.org/abs/2510.09494v1
12,2509.18461v1,Zero-Shot Visual Deepfake Detection: Can AI Predict and Prevent Fake Content Before It's Created?,2025,Ayan Sar,16.0,cs.GR,https://arxiv.org/abs/2509.18461v1
