arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.21781,The State of the SBOM Tool Ecosystems: A Comparative Analysis of SPDX and CycloneDX,"Bangash, A.A.; Ge, T.; Zhao, Z.; Singh, A.; Wang, Z.; Adams, B.",2025-12-31,52,University of Waterloo,9,"Comparative study of SPDX vs CycloneDX ecosystems across 170 tools, analyzing maturity and adoption patterns"
2512.17710,A Practical Solution to Systematically Monitor Inconsistencies in SBOM-based Vulnerability Scanners,"Rosso, M.; Jaffar, M.A.J.; Brighente, A.; Conti, M.",2025-12-31,15,University of Padua,9,"Framework for testing vulnerability scanner consistency, revealing silent failures in real-world tools"
2511.20313,A Reality Check on SBOM-based Vulnerability Management,"Zhou, L.; Dacier, M.; Konstantinou, C.",2025-11-30,12,Georgia Tech,9,Large-scale study showing 97.5% false positive rate; proposes function call analysis to reduce false alarms
2511.12668,AI Bill of Materials and Beyond: AI Risk Scanning (AIRS) Framework,"Nathanson, S.; Lee, A.; Kieffer, C.C.; et al.",2025-11-30,13,NIST,9,Framework extending SBOM principles to AI systems with threat-model-based evidence generation
2511.22359,UniBOM -- A Unified SBOM Analysis and Visualisation Tool for IoT Systems and Beyond,"Safronov, V.; Bostan, I.; Allott, N.; Martin, A.",2025-11-30,9,University of Kent,8,"Integrated tool for binary, filesystem, and source code analysis with AI-based vulnerability classification"
2510.05798,SBOMproof: Beyond Alleged SBOM Compliance for Supply Chain Security of Container Images,"Bufalino, J.; Di Francesco, M.; Blaise, A.; Secci, S.",2025-10-31,18,Sorbonne Université,8,Study revealing tool incompatibility and SBOM confusion vulnerability in container security analysis
2510.07070,Building an Open AIBOM Standard in the Wild,"Rajbahadur, G.K.; Gallaba, K.; Rashno, E.; et al.",2025-10-31,13,University of Waterloo,8,Experience report on developing AIBOM specification with 90+ contributors using action research approach
2509.20010,Demystifying Neural Network Evolution with BOM Analysis,"Ren, X.; Ye, Y.; Wu, X.; Wu, Y.; Xue, Y.",2025-09-30,12,Zhejiang University,8,"Analysis of 55,997 PyTorch repositories; introduces NNBOM dataset for neural network software evolution"
2509.13217,Trustworthy and Confidential SBOM Exchange,"Ishgair, E.A.; Okafor, C.; Melara, M.S.; Torres-Arias, S.",2025-09-30,20,Purdue University,8,Petra system enabling redacted SBOMs using selective encryption while maintaining integrity proofs
2509.01255,Policy-driven Software Bill of Materials on GitHub: An Empirical Study,"Novikov, O.; Fucci, D.; Adamov, O.; Mendez, D.",2025-09-30,12,Chalmers University,8,Mining study showing only 0.56% of popular repos contain policy-driven SBOMs; 22% lack licensing info
2508.13750,NodeShield: Runtime Enforcement of Security-Enhanced SBOMs for Node.js,"Cornelissen, E.; Balliu, M.",2025-08-31,15,KTH Royal Institute of Technology,8,Runtime protection enforcing SBOM-based dependency hierarchy; prevents 98% of supply chain attacks
2507.20502,VDGraph: Graph-Theoretic Approach to SBOM and SCA Data,"Xia, H.; Gluck, J.; Simsek, S.; Medina, D.S.; Starobinski, D.",2025-07-31,11,Boston University,8,Knowledge graph methodology integrating vulnerability and dependency data for risk analysis
2507.18105,Understanding the Supply Chain and Risks of Large Language Model Applications,Ma et al.,2025-07-31,26,Carnegie Mellon University,8,"First comprehensive dataset of 3,859 LLM applications with 109,211 models analyzed"
2505.02521,Attestable Builds: Compiling Verifiable Binaries on Untrusted Systems using TEEs,"Hugenroth, D.; Lins, M.; Mayrhofer, R.; Beresford, A.",2025-05-31,24,University of Cambridge,8,Introduces paradigm providing strong source-to-binary correspondence using TEEs
2504.16743,Implementing AI Bill of Materials (AI BOM) with SPDX 3.0,"Bennet, K.; Rajbahadur, G.K.; Suriyawongkul, A.; Stewart, K.",2025-04-30,71,Linux Foundation,8,Comprehensive guide for creating AI and dataset BOMs using SPDX 3.0 standard
2503.14388,Vexed by VEX tools: Consistency Evaluation of Container Vulnerability Scanners,"Ekstedt, M.; C, Y.",2025-03-31,22,Linköping University,7,"Study showing low consistency among VEX-format tools, indicating maturity issues in the field"
2502.08219,Tracking Down Software Cluster Bombs: FLOSS Ecosystem State Analysis,"Tatschner, S.; Heinl, M.P.; Pappler, N.; et al.",2025-02-28,18,University of Stuttgart,7,Study of free/open source ecosystem identifying high-impact vulnerable projects
2502.19567,Atlas: A Framework for ML Lifecycle Provenance & Transparency,"Spoczynski, M.; Melara, M.S.; Szyller, S.",2025-02-28,14,Purdue University,8,Framework leveraging supply chain specifications for verifiable ML pipeline records
2412.05138,Supply Chain Insecurity: Lack of Integrity Protection in SBOM Solutions,"Ozkan, C.; Zou, X.; Singelee, D.",2024-12-31,12,KU Leuven,8,Study showing SBOM generation susceptible to insider manipulation; evaluates blockchain solutions
2409.06390,Impact of SBOM Generators on Vulnerability Assessment in Python,"Benedetti, G.; Cofano, S.; Brighente, A.; Conti, M.",2024-09-30,23,University of Padua,7,PIP-sbom tool increases precision/recall 60%; reduces false positives by 10x
2408.16198,Chain-of-Experts (CoE): Reverse Engineering SBOMs for JavaScript Bundles,"Song, L.; Ding, S.H.H.; Tian, Y.; et al.",2024-08-31,11,University of Waterloo,7,Deep learning model for SBOM generation from JavaScript bundles; first study on this task
