arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.23480,Agentic AI for Autonomous Defense in Software Supply Chain Security: Beyond Provenance to Vulnerability Mitigation,"Toqeer Ali Syed; Mohammad Riyaz Belgaum; Salman Jan; Asadullah Abdullah Khan; Saad Said Alqahtani",2025-12-29,10,Unknown,9,"Combines LLM reasoning, RL, and multi-agent coordination to actively detect and mitigate software supply chain vulnerabilities. Integrates with CI/CD platforms and blockchain audit trails."
2601.00205,Understanding Security Risks of AI Agents' Dependency Updates,"Tanmay Singla; Berk Çakar; Paschal C. Amusuo; James C. Davis",2026-01-01,5,Unknown,10,"Analyzes 117,062 dependency changes showing AI agents select vulnerable versions 2.46% vs 1.64% for humans, with 36.8% requiring major-version upgrades vs 12.9% for humans."
2510.23883,Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges,"Shrestha Datta; Shahriar Kabir Nahin; Anshuman Chhabra; Prasant Mohapatra",2025-10-27,Unknown,Unknown,9,"Taxonomy of threats in agentic AI systems, reviews benchmarks and evaluation methodologies, discusses defense strategies from technical and governance perspectives."
2510.06445,A Survey on Agentic Security: Applications, Threats and Defenses,"Asif Shahriar; Md Nafiu Rahman; Sadif Ahmed; Farig Sadeque; Md Rizwan Parvez",2025-10-07,Unknown,Unknown,9,"Comprehensive survey examining 160+ papers on agentic security applications, inherent threats, and countermeasures. Highlights emerging architecture trends and research gaps."
2508.10043,Securing Agentic AI: Threat Modeling and Risk Analysis for Network Monitoring Agentic AI System,"Pallavi Zambare; Venkata Nikhil Thanikella; Ying Liu",2025-08-12,Unknown,Unknown,9,"Applies MAESTRO seven-layer threat modeling framework to identify vulnerabilities. Demonstrates DoS and memory corruption attacks with measured performance degradation."
2508.16481,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harms,"Jonathan Nöther; Adish Singla; Goran Radanovic",2025-08-22,54,Unknown,8,"Introduces BAD-ACTS benchmark with 4 agent implementations and 188 curated harmful action examples. Shows single adversarial agent significantly impacts system security."
2506.04133,TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems,"Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis",2025-06-04,Unknown,Unknown,9,"Proposes extended TRiSM framework with risk taxonomy capturing unique threats from coordination failures to prompt-based attacks. Introduces Component Synergy Score metric."
2504.19956,Securing Agentic AI: A Comprehensive Threat Model and Mitigation Framework for Generative AI Agents,"Vineeth Sai Narajala; Om Narayan",2025-04-28,12,Unknown,8,"Identifies 9 primary threats across 5 domains. Presents ATFAA threat framework and SHIELD mitigation strategies for enterprise autonomous agents."
2510.00317,MAVUL: Multi-Agent Vulnerability Detection via Contextual Reasoning and Interactive Refinement,"Youpeng Li; Kartik Joshi; Xinda Wang; Eric Wong",2025-09-30,Unknown,Unknown,8,"Multi-agent system for vulnerability detection using tool-using capabilities and contextual reasoning. Achieves improved detection over single-agent approaches."
2410.21218,Lifting the Veil on Composition, Risks, and Mitigations of the Large Language Model Supply Chain,"Kaifeng Huang; Bihuan Chen; You Lu; Susheng Wu; Dingji Wang; Yiheng Huang; Haowen Jiang; Zhuotong Zhou; Junming Cao; Xin Peng",2024-10-28,26,Unknown,9,"Examines complete LLM deployment ecosystem. Develops framework identifying risk categories and protective strategies across stakeholders in LLM implementation pipeline."
2505.12786,Forewarned is Forearmed: A Survey on Large Language Model-based Agents in Autonomous Cyberattacks,"Minrui Xu; Jiani Fan; Xinyu Huang; Conghao Zhou; Jiawen Kang; Dusit Niyato; Shiwen Mao; Zhu Han; Xuemin (Sherman) Shen; Kwok-Yan Lam",2025-05-19,Unknown,Unknown,8,"Surveys LLM-based agents for autonomous cyber operations. Documents Cyber Threat Inflation and evaluates defensive gaps across various network types."
2512.18043,Securing Agentic AI Systems -- A Multilayer Security Framework,"Sunil Arora; John Hastings",2025-12-19,6,Unknown,8,"Introduces MAAIS lifecycle-aware framework with multiple defense layers. Maps to MITRE ATLAS tactics for enterprise autonomous AI deployment."
2511.21990,A Safety and Security Framework for Real-World Agentic Systems,"Shaona Ghosh; Barnaby Simkin; Kyriacos Shiarlis; Soumili Nandi; Dan Zhao; Matthew Fiedler; Julia Bazinska; Nikki Pope; Roopa Prabhu; Daniel Rohrer; Michael Demoret; Bartley Richardson",2025-11-27,Unknown,Unknown,9,"Presents comprehensive framework treating safety/security as emergent properties. Validates on NVIDIA AI-Q, releases dataset with 10,000+ attack/defense traces."
2502.07049,LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights,"Ze Sheng; Zhicheng Chen; Shuning Gu; Heqing Huang; Guofei Gu; Jeff Huang",2025-02-10,33,Unknown,8,"Surveys LLM deployment for vulnerability detection. Reviews architectures, fine-tuning, datasets, and assessment criteria. Identifies cross-language detection challenges."
2503.12188,Multi-Agent Systems Execute Arbitrary Malicious Code,"Harold Triedman; Rishi Jha; Vitaly Shmatikov",2025-03-15,33,Unknown,9,"Demonstrates multi-agent LLM vulnerabilities. Shows 58-90% success rates for arbitrary code execution attacks, reaching 100% in some configurations."
2411.10184,Agentic LLMs in the Supply Chain: Towards Autonomous Multi-Agent Consensus-Seeking,"Valeria Jannelli; Stefan Schoepf; Matthias Bickel; Torbjørn Netland; Alexandra Brintrup",2024-11-15,Unknown,Unknown,7,"Investigates LLM agents for supply chain consensus-building. Proposes frameworks for agent-based coordination and validates with inventory management case study."
