arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2505.02077,Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents,Christian Schroeder de Witt et al.,2025-05-04,Unknown,University of Oxford / DeepMind,9.5,Comprehensive framework for multi-agent security addressing coordinated attacks and network-amplified vulnerabilities in decentralized agent architectures
2503.12188,Multi-Agent Systems Execute Arbitrary Malicious Code,Harold Triedman; Rishi Jha; Vitaly Shmatikov,2025-03-15,33,Cornell Tech / Shmatikov Lab,9.0,Demonstrates 58-90% success rate for web-based attacks forcing execution of arbitrary malicious code in LLM-based multi-agent systems
2510.23883,Agentic AI Security: Threats Defenses Evaluation and Open Challenges,Shrestha Datta; Shahriar Kabir Nahin; Anshuman Chhabra; Prasant Mohapatra,2025-10-27,Unknown,UC Davis / Computer Science,8.5,Comprehensive threat taxonomy for agentic AI systems with evaluation methods and defense strategies
2507.06850,The Dark Side of LLMs: Agent-based Attacks for Complete Computer Takeover,Matteo Lupinacci et al.,2025-07-09,Unknown,University of Calabria / Italy,9.2,100% vulnerability rate for inter-agent trust exploitation allowing malicious agents to coerce systems into autonomously installing malware
2503.13657,Why Do Multi-Agent LLM Systems Fail?,Mert Cemri; Melissa Z. Pan; Shuyi Yang et al.,2025-03-17,Unknown,UC Berkeley / RISE Lab,8.8,Introduces MAST-Data dataset of 1600+ annotated traces revealing 14 failure modes including inter-agent misalignment and coordination issues
2506.04133,TRiSM for Agentic AI: A Review of Trust Risk and Security Management in LLM-based Agentic Multi-Agent Systems,Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis,2025-06-04,Unknown,Unknown,8.2,Examines trust risk and security frameworks with novel metrics for inter-agent collaboration quality and tool utilization
2505.08807,Security of Internet of Agents: Attacks and Countermeasures,Yuntao Wang; Yanghe Pan; Shaolong Guo; Zhou Su,2025-05-12,11,Southeast University / China,7.8,Identifies four critical threat areas in IoA systems: identity authentication vulnerabilities cross-agent trust deficiencies embodied system risks
2506.19676,A Survey of LLM-Driven AI Agent Communication: Protocols Security Risks and Defense Countermeasures,Dezhang Kong et al.,2025-06-24,48,Alibaba DAMO Academy / China,9.3,Comprehensive survey of emerging protocols (MCP A2A) and three-tier communication vulnerability taxonomy with novel defense strategies
2509.01211,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,Dezhang Kong; Hujin Peng; Yilun Zhang et al.,2025-09-01,Unknown,Alibaba DAMO Academy / China,8.0,Develops 11 attack variants exploiting link validation vulnerabilities in multi-agent systems with high success rates
2504.07461,Achilles Heel of Distributed Multi-Agent Systems,Yiting Zhang; Yijiang Li; Tianwei Zhao; Kaijie Zhu; Haohan Wang; Nuno Vasconcelos,2025-04-10,Unknown,North Carolina State University,8.6,Red-teaming evaluation revealing 80% performance degradation and 100% success rates for free riding and malicious attacks
2406.02630,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,Zehang Deng; Yongjian Guo; Changzhou Han; Wanlun Ma; Junwu Xiong; Sheng Wen; Yang Xiang,2024-06-04,Unknown,Swinburne University of Technology,7.9,Comprehensive survey identifying four primary security knowledge gaps in AI agent vulnerabilities
2510.11108,A Vision for Access Control in LLM-based Agent Systems,Xinfeng Li; Dong Huang; Jie Li; Hongyi Cai; Zhenhong Zhou; Wei Dong; XiaoFeng Wang; Yang Liu,2025-10-13,11,Indiana University / Bloomington,7.5,Proposes Agent Access Control framework with context-aware information governance for multi-agent systems
2510.16219,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,Yang Feng; Xudong Pan,2025-10-17,Unknown,Unknown,8.1,Introduces decentralized security framework achieving near-perfect detection of malicious agents with 95% accuracy restoration
2508.09815,Extending the OWASP Multi-Agentic System Threat Modeling Guide: Insights from Multi-Agent Security Research,Klaudia Krawiecka; Christian Schroeder de Witt,2025-08-13,Unknown,University of Oxford,8.3,Proposes enhancements to OWASP framework with new threat categories for multi-agent systems
2510.06445,A Survey on Agentic Security: Applications Threats and Defenses,Asif Shahriar; Md Nafiu Rahman; Sadif Ahmed; Farig Sadeque; Md Rizwan Parvez,2025-10-07,Unknown,Unknown,8.4,Comprehensive taxonomy of 160+ papers covering AI agent security vulnerabilities and protective measures
