arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.23380v1,A unified framework for detecting point and collective anomalies in operating system logs via collaborative transformers,Mohammad Nasirzadeh; Jafar Tahmoresnezhad; Parviz Rashidi-Khazaee,2025-12-29,71,Mohammad Nasirzadeh,7,"Log anomaly detection is crucial for preserving the security of operating systems. Depending on the source of log data collection, various information is recorded in logs that can be considered log mo..."
2511.21378v1,Anomaly Detection with Adaptive and Aggressive Rejection for Contaminated Training Data,Jungi Lee; Jungkwon Kim; Chi Zhang; Kwangsun Yoo; Seok-Joo Byun,2025-11-26,10,Jungi Lee,7,"Handling contaminated data poses a critical challenge in anomaly detection, as traditional models assume training on purely normal data. Conventional methods mitigate contamination by relying on fixed..."
2511.20480v1,Ranking-Enhanced Anomaly Detection Using Active Learning-Assisted Attention Adversarial Dual AutoEncoders,Sidahmed Benabderrahmane; James Cheney; Talal Rahwan,2025-11-25,66,Sidahmed Benabderrahmane,7,"Advanced Persistent Threats (APTs) pose a significant challenge in cybersecurity due to their stealthy and long-term nature. Modern supervised learning methods require extensive labeled data, which is..."
2511.17978v1,Federated Anomaly Detection and Mitigation for EV Charging Forecasting Under Cyberattacks,Oluleke Babayomi; Dong-Seong Kim,2025-11-22,11,Oluleke Babayomi,7,Electric Vehicle (EV) charging infrastructure faces escalating cybersecurity threats that can severely compromise operational efficiency and grid stability. Existing forecasting techniques are limited...
2511.14467v1,From Topology to Behavioral Semantics: Enhancing BGP Security by Understanding BGP's Language with LLMs,Heng Zhao; Ruoyu Wang; Tianhang Zheng; Qi Li; Bo Lv,2025-11-18,549,Heng Zhao,7,"The trust-based nature of Border Gateway Protocol (BGP) makes it vulnerable to disruptions like prefix hijacking and misconfigurations, threatening routing stability. Traditional detection relies on m..."
2511.05193v1,BLADE: Behavior-Level Anomaly Detection Using Network Traffic in Web Services,Zhibo Dong; Yong Huang; Shubao Sun; Wentao Cui; Zhihua Wang,2025-11-07,13,Zhibo Dong,7,"With their widespread popularity, web services have become the main targets of various cyberattacks. Existing traffic anomaly detection approaches focus on flow-level attacks, yet fail to recognize be..."
2510.26487v1,Quantum Gated Recurrent GAN with Gaussian Uncertainty for Network Anomaly Detection,Wajdi Hammami; Soumaya Cherkaoui; Jean-Frederic Laprade; Ola Ahmad; Shengrui Wang,2025-10-30,11,Wajdi Hammami,7,"Anomaly detection in time-series data is a critical challenge with significant implications for network security. Recent quantum machine learning approaches, such as quantum kernel methods and variati..."
2510.26829v1,Layer of Truth: Probing Belief Shifts under Continual Pre-Training Poisoning,Svetlana Churina; Niranjan Chebrolu; Kokil Jaidka,2025-10-29,16,Svetlana Churina,7,"Large language models (LLMs) continually evolve through pre-training on ever-expanding web data, but this adaptive process also exposes them to subtle forms of misinformation. While prior work has exp..."
2510.20189v2,SPAN: Continuous Modeling of Suspicion Progression for Temporal Intention Localization,Xinyi Hu; Yuran Wang; Ruixu Zhang; Yue Li; Wenxuan Liu,2025-10-23,685,Xinyi Hu,7,"Temporal Intention Localization (TIL) is crucial for video surveillance, focusing on identifying varying levels of suspicious intentions to improve security monitoring. However, existing discrete clas..."
2510.13311v1,Isolation-based Spherical Ensemble Representations for Anomaly Detection,Yang Cao; Sikun Yang; Hao Tian; Kai He; Lianyong Qi,2025-10-15,18,Yang Cao,7,"Anomaly detection is a critical task in data mining and management with applications spanning fraud detection, network security, and log monitoring. Despite extensive research, existing unsupervised a..."
2508.10346v1,A Hierarchical IDS for Zero-Day Attack Detection in Internet of Medical Things Networks,Md Ashraf Uddin; Nam H. Chu; Reza Rafeh,2025-08-14,10,Md Ashraf Uddin,7,"The Internet of Medical Things (IoMT) is driving a healthcare revolution but remains vulnerable to cyberattacks such as denial of service, ransomware, data hijacking, and spoofing. These networks comp..."
2508.05696v1,Log2Sig: Frequency-Aware Insider Threat Detection via Multivariate Behavioral Signal Decomposition,Kaichuan Kong; Dongjie Liu; Xiaobo Jin; Zhiying Li; Guanggang Geng,2025-08-06,49,Kaichuan Kong,7,"Insider threat detection presents a significant challenge due to the deceptive nature of malicious behaviors, which often resemble legitimate user operations. However, existing approaches typically mo..."
