arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.23480,Agentic AI for Autonomous Defense in Software Supply Chain Security,"Toqeer Ali Syed, Mohammad Riyaz Belgaum, Salman Jan, Asadullah Abdullah Khan, Saad Said Alqahtani",2025-12-29,15,Unknown,9,"Framework combining LLM reasoning, RL, and multi-agent coordination for proactive supply chain security"
2512.23132,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems,"Armstrong Foundjem, Lionel Nganyewou Tidjon, Leuson Da Silva, Foutse Khomh",2025-12-28,56,Polytechnique Montreal,9,Identifies 93 threats across ML lifecycle with focus on supply-chain and inference risks
2510.05159,Malice in Agentland: Backdoors in the AI Supply Chain,"Léo Boisvert, Abhay Puri, Chandra Kiran Reddy Evuru, Nicolas Chapados, Quentin Cappart, Alexandre Lacoste, Krishnamurthy Dj Dvijotham, Alexandre Drouin",2025-10-14,27,ServiceTitan,9,Backdoor attacks targeting data collection pipelines in agentic AI via poisoning (80%+ success with 2% poison)
2509.15572,Cuckoo Attack: Stealthy and Persistent Attacks Against AI-IDE,"Xinpeng Liu, Junming Liu, Peiyu Liu, Han Zheng, Qinying Wang, Mathias Payer, Shouling Ji, Wenhai Wang",2025-09-19,14,Zhejiang University,8,AI-IDE configuration file exploitation enabling local and supply chain attacks
2508.20307,Surveying the Operational Cybersecurity and Supply Chain Threat Landscape,"Michael R Smith, Joe Ingram",2025-08-27,11,Unknown,8,Comprehensive threat assessment across AI lifecycle emphasizing output manipulation vs traditional attacks
2508.19774,The Art of Hide and Seek: Pickle-Based Model Supply Chain Poisoning,"Tong Liu, Guozhu Meng, Peng Zhou, Zizhuang Deng, Shuaiyin Yao, Kai Chen",2025-08-27,18,ICT/CAS,9,Deserialization vulnerabilities in model-sharing platforms with 89% detection bypass rate
2505.22778,Machine Learning Models Have a Supply Chain Problem,"Sarah Meiklejohn, Hayden Blauzvern, Mihai Maruseac, Spencer Schrock, Laurent Simon, Ilia Shumailov",2025-05-01,12,Google,9,"ML ecosystem supply chain risks: malicious model replacement, framework dependency vulnerabilities"
2505.01067,A Rusty Link in the AI Supply Chain: Detecting Evil Configurations in Model Repositories,"Ziqi Ding, Qian Fu, Junchen Ding, Gelei Deng, Yi Liu, Yuekang Li",2025-05-01,10,Unknown,8,Configuration file vulnerabilities in Hugging Face enabling unauthorized code execution
2502.19567,Atlas: ML Lifecycle Provenance & Transparency Framework,"Marcin Spoczynski, Marcela S. Melara, Sebastian Szyller",2025-02-26,12,University of Colorado Boulder,8,Framework for fully attestable ML pipelines addressing data poisoning and supply chain attacks
2502.05206,Safety at Scale: A Comprehensive Survey of Large Model and Agent Safety,"Xingjun Ma, et al.",2025-02-02,60,University of Melbourne,8,"Systematic taxonomy covering backdoors, data poisoning, and agent-specific threats across ML pipelines"
