arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary,downloaded
2410.05306v1,Towards Assuring EU AI Act Compliance and Adversarial Robustness of LLMs,"Tomas Bueno Momcilovic, Beat Buesser, Giulio Zizzo, Mark Purcell, Dian Balta",2024-10-04,N/A,N/A,10.0,"Large language models are prone to misuse and vulnerable to security threats, raising significant safety and security concerns. The European Union's Artificial Intelligence Act seeks to enforce AI robustness in certain contexts, but faces implementat",YES
2510.09613v1,Automating the RMF: Lessons from the FedRAMP 20x Pilot,Isaac Henry Teuscher,2025-09-10,N/A,N/A,10.0,"The U.S. Federal Risk and Authorization Management Program (FedRAMP) has long relied on extensive sets of controls and static documentation to assess cloud systems. However, this manual, point-in-time approach has struggled to keep pace with cloud-na",YES
2407.17374v2,Co-designing an AI Impact Assessment Report Template with AI Practitioners and AI Compliance Experts,"Edyta Bogucka, Marios Constantinides, Sanja Šćepanović, Daniele Quercia",2024-07-24,N/A,N/A,10.0,"In the evolving landscape of AI regulation, it is crucial for companies to conduct impact assessments and document their compliance through comprehensive reports. However, current reports lack grounding in regulations and often focus on specific aspe",YES
2510.01751v1,A cybersecurity AI agent selection and decision support framework,Masike Malatji,2025-10-02,N/A,N/A,10.0,"This paper presents a novel, structured decision support framework that systematically aligns diverse artificial intelligence (AI) agent architectures, reactive, cognitive, hybrid, and learning, with the comprehensive National Institute of Standards ",YES
2408.07933v1,Adapting cybersecurity frameworks to manage frontier AI risks: A defense-in-depth approach,"Shaun Ee, Joe O'Brien, Zoe Williams, Amanda El-Dakhakhni, Michael Aird",2024-08-15,N/A,N/A,10.0,"The complex and evolving threat landscape of frontier AI development requires a multi-layered approach to risk management (""defense-in-depth""). By reviewing cybersecurity and AI frameworks, we outline three approaches that can help identify gaps in t",YES
2505.20311v2,"The EU AI Act, Stakeholder Needs, and Explainable AI: Aligning Regulatory Compliance in a Clinical Decision Support System","Anton Hummel, Håkan Burden, Susanne Stenberg, Jan-Philipp Steghöfer, Niklas Kühl",2025-05-22,N/A,N/A,10.0,"Explainable AI (XAI) is a promising route to comply with the EU AI Act, the first multinational AI regulation. XAI enhances transparency and human oversight of AI systems, especially ''black-box`` models criticized as incomprehensible. Yet discourse ",YES
2510.01281v1,An Analysis of the New EU AI Act and A Proposed Standardization Framework for Machine Learning Fairness,"Mike Teodorescu, Yongxu Sun, Haren N. Bhatia, Christos Makridis",2025-09-30,N/A,N/A,10.0,"The European Union's AI Act represents a crucial step towards regulating ethical and responsible AI systems. However, we find an absence of quantifiable fairness metrics and the ambiguity in terminology, particularly the interchangeable use of the ke",YES
2504.15181v2,Mapping Industry Practices to the EU AI Act's GPAI Code of Practice Safety and Security Measures,"Lily Stelling, Mick Yang, Rokas Gipiškis, Leon Staufer, Ze Shen Chin",2025-04-21,N/A,N/A,10.0,This report provides a detailed comparison between the Safety and Security measures proposed in the EU AI Act's General-Purpose AI (GPAI) Code of Practice (Third Draft) and the current commitments and practices voluntarily adopted by leading AI compa,YES
2408.11249v1,The Dilemma of Uncertainty Estimation for General Purpose AI in the EU AI Act,"Matias Valdenegro-Toro, Radina Stoykova",2024-08-20,N/A,N/A,10.0,The AI act is the European Union-wide regulation of AI systems. It includes specific provisions for general-purpose AI models which however need to be further interpreted in terms of technical standards and state-of-art studies to ensure practical co,YES
2504.20075v1,The EU AI Act in Development Practice: A Pro-justice Approach,"Tomasz Hollanek, Yulu Pi, Dorian Peters, Selen Yakar, Eleanor Drage",2025-04-24,N/A,N/A,10.0,"With the adoption of the EU AI Act, companies must understand and implement its compliance requirements -- an often complex task, especially in areas like risk management and fundamental rights assessments. This paper introduces our High-risk EU AI A",YES
