arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.24499v1,Training-Free Color-Aware Adversarial Diffusion Sanitization for Diffusion Stegomalware Defense at Security Gateways,"Vladimir Frants, Sos Agaian",2025-12-30,13,Unknown,10,"The rapid expansion of generative AI has normalized large-scale synthetic media creation, enabling new forms of covert communication. Recent generative steganography methods, particularly those based "
2512.23189v1,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design,"Zelin Zang, Yuhang Song, Bingo Wing-Kuen Ling",2025-12-29,509,Unknown,10,This survey provides a comprehensive overview of the integration of Generative AI and Agentic AI within the field of Digital Electronic Design Automation (EDA). The paper first reviews the paradigmati
2512.23132v1,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems,"Armstrong Foundjem, Lionel Nganyewou Tidjon, Leuson Da Silva",2025-12-29,73,Unknown,10,"Machine learning (ML) underpins foundation models in finance, healthcare, and critical infrastructure, making them targets for data poisoning, model extraction, prompt injection, automated jailbreakin"
2512.22883v1,Agentic AI for Cyber Resilience: A New Security Paradigm and Its System-Theoretic Foundations,"Tao Li, Quanyan Zhu",2025-12-28,7,Unknown,10,"Cybersecurity is being fundamentally reshaped by foundation-model-based artificial intelligence. Large language models now enable autonomous planning, tool orchestration, and strategic adaptation at s"
2512.24268v1,RAGPart & RAGMask: Retrieval-Stage Defenses Against Corpus Poisoning in Retrieval-Augmented Generation,"Pankayaraj Pathmanathan, Michael-Andrei Panaitescu-Liess, Cho-Yu Jason Chiang",2025-12-30,9,Unknown,9,"Retrieval-Augmented Generation (RAG) has emerged as a promising paradigm to enhance large language models (LLMs) with external knowledge, reducing hallucinations and compensating for outdated informat"
2601.00270v1,Rectifying Adversarial Examples Using Their Vulnerabilities,"Fumiya Morimoto, Ryuto Morita, Satoshi Ono",2026-01-01,29,Unknown,8,Deep neural network-based classifiers are prone to errors when processing adversarial examples (AEs). AEs are minimally perturbed input data undetectable to humans posing significant risks to security
2601.00384v1,Engineering Attack Vectors and Detecting Anomalies in Additive Manufacturing,"Md Mahbub Hasan, Marcus Sternhagen, Krishna Chandra Roy",2026-01-01,117,Unknown,8,"Additive manufacturing (AM) is rapidly integrating into critical sectors such as aerospace, automotive, and healthcare. However, this cyber-physical convergence introduces new attack surfaces, especia"
2512.24925v1,Towards Provably Secure Generative AI: Reliable Consensus Sampling,"Yu Cui, Hang Fu, Sicheng Pan",2025-12-31,86,Unknown,8,Existing research on generative AI security is primarily driven by mutually reinforcing attack and defense methodologies grounded in empirical experience. This dynamic frequently gives rise to previou
2512.24602v1,"Secure Digital Semantic Communications: Fundamentals, Challenges, and Opportunities","Weixuan Chen, Qianqian Yang, Yuanyuan Jia",2025-12-31,11,Unknown,8,"Semantic communication (SemCom) has emerged as a promising paradigm for future wireless networks by prioritizing task-relevant meaning over raw data delivery, thereby reducing communication overhead a"
2512.23438v1,Fuzzilicon: A Post-Silicon Microcode-Guided x86 CPU Fuzzer,"Johannes Lenzen, Mohamadreza Rostami, Lichao Wu",2025-12-29,46,Unknown,8,"Modern CPUs are black boxes, proprietary, and increasingly characterized by sophisticated microarchitectural flaws that evade traditional analysis. While some of these critical vulnerabilities have be"
2512.23987v1,MeLeMaD: Adaptive Malware Detection via Chunk-wise Feature Selection and Meta-Learning,"Ajvad Haneef K, Karan Kuwar Singh, Madhu Kumar S D",2025-12-30,47,Unknown,8,Confronting the substantial challenges of malware detection in cybersecurity necessitates solutions that are both robust and adaptable to the ever-evolving threat environment. The paper introduces Met
2512.22633v1,Rethinking the Capability of Fine-Tuned Language Models for Automated Vulnerability Repair,"Woorim Han, Yeongjun Kwak, Miseon Yu",2025-12-27,13,Unknown,8,"Learning-based automated vulnerability repair (AVR) techniques that utilize fine-tuned language models have shown promise in generating vulnerability patches. However, questions remain about their abi"
2512.20423v1,Evasion-Resilient Detection of DNS-over-HTTPS Data Exfiltration: A Practical Evaluation and Toolkit,Adam Elaoumari,2025-12-23,24,Unknown,8,"The purpose of this project is to assess how well defenders can detect DNS-over-HTTPS (DoH) file exfiltration, and which evasion strategies can be used by attackers. While providing a reproducible too"
2512.20203v1,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,"Zhenlei Ye, Xiaobing Sun, Sicong Cao",2025-12-23,19,Unknown,8,"The advances of large language models (LLMs) have paved the way for automated software vulnerability repair approaches, which iteratively refine the patch until it becomes plausible. Nevertheless, exi"
2601.00627v1,Towards Understanding and Characterizing Vulnerabilities in Intelligent Connected Vehicles through Real-World Exploits,"Yuelin Wang, Yuqiao Ning, Yanbang Sun",2026-01-02,17,Unknown,7,"Intelligent Connected Vehicles (ICVs) are a core component of modern transportation systems, and their security is crucial as it directly relates to user safety. Despite prior research, most existing "
